ixq2,iz,point,x,y,exl,exh,eyl,eyh
1,0,0,0.124799,4.17436,0,0,0.305391,0.305391
1,0,1,0.174462,3.15477,0,0,0.18594,0.18594
1,0,2,0.246433,2.07828,0,0,0.115871,0.115871
1,0,3,0.345185,1.10972,0,0,0.0631843,0.0631843
1,0,4,0.443863,0.592468,0,0,0.0396806,0.0396806
1,0,5,0.559357,0.284716,0,0,0.0210433,0.0210433
1,0,6,0.705362,0.116855,0,0,0.011679,0.011679
1,1,0,0.0755906,2.25139,0,0,0.336529,0.336529
1,1,1,0.125233,1.93971,0,0,0.190701,0.190701
1,1,2,0.174805,1.62163,0,0,0.123839,0.123839
1,1,3,0.248145,1.1486,0,0,0.0720415,0.0720415
1,1,4,0.347197,0.700058,0,0,0.0404249,0.0404249
1,1,5,0.447005,0.41866,0,0,0.0205481,0.0205481
1,1,6,0.56744,0.220614,0,0,0.0123561,0.0123561
1,1,7,0.717221,0.104665,0,0,0.00666011,0.00666011
1,1,8,0.882971,0.0421172,0,0,0.00248748,0.00248748
1,2,0,0.0288712,1.28606,0,0,0.236657,0.236657
1,2,1,0.0753129,1.18053,0,0,0.126255,0.126255
1,2,2,0.125607,1.08805,0,0,0.0964601,0.0964601
1,2,3,0.174793,0.86241,0,0,0.0910342,0.0910342
1,2,4,0.249039,0.655783,0,0,0.050942,0.050942
1,2,5,0.347665,0.434925,0,0,0.0275461,0.0275461
1,2,6,0.447698,0.291537,0,0,0.0200528,0.0200528
1,2,7,0.568881,0.17313,0,0,0.0100277,0.0100277
1,2,8,0.71864,0.0852304,0,0,0.00519362,0.00519362
1,2,9,0.888047,0.0412375,0,0,0.00288247,0.00288247
1,3,0,0.0281445,0.734414,0,0,0.103765,0.103765
1,3,1,0.0754474,0.654146,0,0,0.0860863,0.0860863
1,3,2,0.12516,0.529017,0,0,0.0594968,0.0594968
1,3,3,0.17557,0.498629,0,0,0.0596171,0.0596171
1,3,4,0.249192,0.369478,0,0,0.036029,0.036029
1,3,5,0.34871,0.258146,0,0,0.0185033,0.0185033
1,3,6,0.448224,0.19111,0,0,0.0138311,0.0138311
1,3,7,0.569959,0.113928,0,0,0.00804718,0.00804718
1,3,8,0.718507,0.0665389,0,0,0.00490544,0.00490544
1,3,9,0.889011,0.0327785,0,0,0.00274187,0.00274187
1,4,0,0.0268249,0.400575,0,0,0.0627163,0.0627163
1,4,1,0.075548,0.311821,0,0,0.0347287,0.0347287
1,4,2,0.125596,0.315301,0,0,0.0301934,0.0301934
1,4,3,0.175424,0.281046,0,0,0.0267939,0.0267939
1,4,4,0.249003,0.223311,0,0,0.019602,0.019602
1,4,5,0.348562,0.164906,0,0,0.0144523,0.0144523
1,4,6,0.448211,0.117419,0,0,0.012289,0.012289
1,4,7,0.571138,0.0780944,0,0,0.00765792,0.00765792
1,4,8,0.718831,0.0487873,0,0,0.00541362,0.00541362
1,4,9,0.892819,0.0272545,0,0,0.00255473,0.00255473
1,5,0,0.027332,0.219061,0,0,0.0538799,0.0538799
1,5,1,0.0752479,0.205907,0,0,0.0444497,0.0444497
1,5,2,0.123707,0.20739,0,0,0.025932,0.025932
1,5,3,0.174168,0.151066,0,0,0.0288296,0.0288296
1,5,4,0.248805,0.125962,0,0,0.0161059,0.0161059
1,5,5,0.348514,0.0952286,0,0,0.0113966,0.0113966
1,5,6,0.446347,0.0702254,0,0,0.01067,0.01067
1,5,7,0.569676,0.0481845,0,0,0.00652251,0.00652251
1,5,8,0.720159,0.027795,0,0,0.00399117,0.00399117
1,5,9,0.886458,0.0121888,0,0,0.00263858,0.00263858
2,0,0,0.0261191,6.91134,0,0,1.35074,1.35074
2,0,1,0.0753169,5.69315,0,0,0.795631,0.795631
2,0,2,0.124417,4.41106,0,0,0.390115,0.390115
2,0,3,0.173917,3.38593,0,0,0.276952,0.276952
2,0,4,0.244334,2.10716,0,0,0.129332,0.129332
2,0,5,0.343047,1.0924,0,0,0.0796076,0.0796076
2,0,6,0.442227,0.60406,0,0,0.0381928,0.0381928
2,0,7,0.554018,0.262964,0,0,0.0211472,0.0211472
2,0,8,0.695231,0.135418,0,0,0.0444188,0.0444188
2,1,0,0.0746883,2.45794,0,0,0.264052,0.264052
2,1,1,0.1251,2.12531,0,0,0.172937,0.172937
2,1,2,0.174517,1.6696,0,0,0.100149,0.100149
2,1,3,0.24724,1.18714,0,0,0.0587047,0.0587047
2,1,4,0.346732,0.717961,0,0,0.0413333,0.0413333
2,1,5,0.446355,0.401525,0,0,0.0238385,0.0238385
2,1,6,0.566205,0.210509,0,0,0.011027,0.011027
2,1,7,0.715276,0.0926756,0,0,0.00652225,0.00652225
2,1,8,0.874903,0.0359823,0,0,0.00360954,0.00360954
2,2,0,0.0254923,1.40461,0,0,0.145361,0.145361
2,2,1,0.0745287,1.24012,0,0,0.103293,0.103293
2,2,2,0.124985,1.06449,0,0,0.0734313,0.0734313
2,2,3,0.175108,0.930355,0,0,0.0740754,0.0740754
2,2,4,0.248257,0.675826,0,0,0.0424461,0.0424461
2,2,5,0.34717,0.455628,0,0,0.0236681,0.0236681
2,2,6,0.446555,0.291798,0,0,0.01562,0.01562
2,2,7,0.568089,0.164945,0,0,0.0103054,0.0103054
2,2,8,0.718101,0.0827674,0,0,0.00541274,0.00541274
2,2,9,0.887751,0.0368038,0,0,0.00282883,0.00282883
2,3,0,0.0246356,0.772572,0,0,0.0969436,0.0969436
2,3,1,0.0749773,0.695453,0,0,0.0602523,0.0602523
2,3,2,0.124903,0.584274,0,0,0.0556326,0.0556326
2,3,3,0.174786,0.488123,0,0,0.0391853,0.0391853
2,3,4,0.248201,0.381948,0,0,0.0247615,0.0247615
2,3,5,0.34796,0.279795,0,0,0.0157978,0.0157978
2,3,6,0.447862,0.190261,0,0,0.0115907,0.0115907
2,3,7,0.567436,0.12072,0,0,0.00776799,0.00776799
2,3,8,0.719394,0.0648621,0,0,0.00511118,0.00511118
2,3,9,0.886572,0.0324087,0,0,0.00282443,0.00282443
2,4,0,0.0237628,0.428355,0,0,0.0441833,0.0441833
2,4,1,0.0745105,0.411266,0,0,0.0385648,0.0385648
2,4,2,0.124532,0.35441,0,0,0.0309656,0.0309656
2,4,3,0.174478,0.286192,0,0,0.0279607,0.0279607
2,4,4,0.248793,0.244259,0,0,0.0187836,0.0187836
2,4,5,0.348451,0.170237,0,0,0.0129197,0.0129197
2,4,6,0.448151,0.12563,0,0,0.0141527,0.0141527
2,4,7,0.568226,0.0860216,0,0,0.0075136,0.0075136
2,4,8,0.717173,0.0454278,0,0,0.00371611,0.00371611
2,4,9,0.885965,0.0219895,0,0,0.00163824,0.00163824
2,5,0,0.0235882,0.251869,0,0,0.0330169,0.0330169
2,5,1,0.0735635,0.224279,0,0,0.0301213,0.0301213
2,5,2,0.124474,0.220204,0,0,0.0219841,0.0219841
2,5,3,0.173937,0.172164,0,0,0.0183684,0.0183684
2,5,4,0.249157,0.143127,0,0,0.0149856,0.0149856
2,5,5,0.347033,0.0911554,0,0,0.0107653,0.0107653
2,5,6,0.447015,0.0682295,0,0,0.00724473,0.00724473
2,5,7,0.566029,0.0355363,0,0,0.00545381,0.00545381
2,5,8,0.712507,0.0161461,0,0,0.00215961,0.00215961
2,5,9,0.881335,0.0046825,0,0,0.00146969,0.00146969
3,0,0,0.0255723,7.48974,0,0,1.72322,1.72322
3,0,1,0.0745435,6.09444,0,0,1.03219,1.03219
3,0,2,0.124242,4.59757,0,0,0.547899,0.547899
3,0,3,0.173664,3.43556,0,0,0.381018,0.381018
3,0,4,0.243146,2.11816,0,0,0.196618,0.196618
3,0,5,0.341137,1.07166,0,0,0.0712559,0.0712559
3,0,6,0.439956,0.518148,0,0,0.0680754,0.0680754
3,0,7,0.536728,0.33088,0,0,0.112048,0.112048
3,1,0,0.0258869,3.09219,0,0,0.292707,0.292707
3,1,1,0.0739451,2.56856,0,0,0.234936,0.234936
3,1,2,0.124732,2.10214,0,0,0.138142,0.138142
3,1,3,0.174603,1.75042,0,0,0.0912193,0.0912193
3,1,4,0.246132,1.18204,0,0,0.0619561,0.0619561
3,1,5,0.34537,0.703411,0,0,0.0370795,0.0370795
3,1,6,0.444398,0.367947,0,0,0.0218416,0.0218416
3,1,7,0.562194,0.174138,0,0,0.0106889,0.0106889
3,1,8,0.709182,0.0801325,0,0,0.00778659,0.00778659
3,1,9,0.86561,0.0259285,0,0,0.00714994,0.00714994
3,2,0,0.0239329,1.49164,0,0,0.111514,0.111514
3,2,1,0.0741562,1.34527,0,0,0.0917728,0.0917728
3,2,2,0.124469,1.0787,0,0,0.085887,0.085887
3,2,3,0.174603,0.932947,0,0,0.0628657,0.0628657
3,2,4,0.247466,0.690052,0,0,0.0378106,0.0378106
3,2,5,0.346006,0.440103,0,0,0.0216253,0.0216253
3,2,6,0.446611,0.280387,0,0,0.0132513,0.0132513
3,2,7,0.564975,0.150572,0,0,0.00919797,0.00919797
3,2,8,0.715398,0.0700021,0,0,0.00496084,0.00496084
3,2,9,0.884165,0.0241366,0,0,0.00164883,0.00164883
3,3,0,0.0227723,0.797229,0,0,0.066341,0.066341
3,3,1,0.0735974,0.701016,0,0,0.0376213,0.0376213
3,3,2,0.124332,0.597696,0,0,0.0434338,0.0434338
