ixq2,iz,point,x,y,exl,exh,eyl,eyh
1,0,0,0.124787,4.31374,0,0,0.312289,0.312289
1,0,1,0.174371,3.31965,0,0,0.176141,0.176141
1,0,2,0.246331,2.13559,0,0,0.0998816,0.0998816
1,0,3,0.345124,1.15393,0,0,0.0619636,0.0619636
1,0,4,0.443954,0.615761,0,0,0.0335388,0.0335388
1,0,5,0.559167,0.29589,0,0,0.0215175,0.0215175
1,0,6,0.703579,0.118806,0,0,0.00753289,0.00753289
1,0,7,0.836179,0.0461937,0,0,0.022704,0.022704
1,1,0,0.0756148,2.41951,0,0,0.338131,0.338131
1,1,1,0.125302,2.04315,0,0,0.190663,0.190663
1,1,2,0.174821,1.67798,0,0,0.111317,0.111317
1,1,3,0.247832,1.20015,0,0,0.0677319,0.0677319
1,1,4,0.347079,0.725255,0,0,0.0362953,0.0362953
1,1,5,0.446904,0.429603,0,0,0.0213473,0.0213473
1,1,6,0.56772,0.225889,0,0,0.0114514,0.0114514
1,1,7,0.71653,0.106068,0,0,0.00624439,0.00624439
1,1,8,0.882122,0.0451209,0,0,0.00286744,0.00286744
1,2,0,0.0284922,1.30095,0,0,0.242032,0.242032
1,2,1,0.0756316,1.24077,0,0,0.125718,0.125718
1,2,2,0.125388,1.06732,0,0,0.0811665,0.0811665
1,2,3,0.175035,0.889568,0,0,0.077905,0.077905
1,2,4,0.248868,0.678671,0,0,0.0526978,0.0526978
1,2,5,0.347859,0.452511,0,0,0.0272114,0.0272114
1,2,6,0.447382,0.294619,0,0,0.0172411,0.0172411
1,2,7,0.569048,0.177854,0,0,0.00856345,0.00856345
1,2,8,0.718587,0.0901448,0,0,0.00465426,0.00465426
1,2,9,0.888867,0.0413434,0,0,0.002063,0.002063
1,3,0,0.0281926,0.737541,0,0,0.0995553,0.0995553
1,3,1,0.0753546,0.669326,0,0,0.0880468,0.0880468
1,3,2,0.125125,0.550287,0,0,0.0605128,0.0605128
1,3,3,0.175094,0.498252,0,0,0.0464044,0.0464044
1,3,4,0.249267,0.392078,0,0,0.0323228,0.0323228
1,3,5,0.348327,0.270302,0,0,0.0195156,0.0195156
1,3,6,0.447455,0.198962,0,0,0.0124459,0.0124459
1,3,7,0.569279,0.124101,0,0,0.00722952,0.00722952
1,3,8,0.719324,0.0696424,0,0,0.00434812,0.00434812
1,3,9,0.88889,0.0347647,0,0,0.00242297,0.00242297
1,4,0,0.0273408,0.398129,0,0,0.0627267,0.0627267
1,4,1,0.0753001,0.348423,0,0,0.0408322,0.0408322
1,4,2,0.125082,0.332423,0,0,0.0313855,0.0313855
1,4,3,0.174699,0.287589,0,0,0.025218,0.025218
1,4,4,0.249216,0.238591,0,0,0.0173688,0.0173688
1,4,5,0.3489,0.167512,0,0,0.0172664,0.0172664
1,4,6,0.448237,0.121455,0,0,0.0124697,0.0124697
1,4,7,0.570233,0.0841612,0,0,0.00756948,0.00756948
1,4,8,0.719658,0.0511009,0,0,0.00471619,0.00471619
1,4,9,0.890306,0.0254401,0,0,0.00252256,0.00252256
1,5,0,0.0272955,0.228083,0,0,0.0362594,0.0362594
1,5,1,0.0753321,0.208503,0,0,0.0321583,0.0321583
1,5,2,0.124618,0.189392,0,0,0.023679,0.023679
1,5,3,0.174638,0.144885,0,0,0.0218043,0.0218043
1,5,4,0.248802,0.133975,0,0,0.0157114,0.0157114
1,5,5,0.348778,0.0943192,0,0,0.0111152,0.0111152
1,5,6,0.448064,0.0693163,0,0,0.00800174,0.00800174
1,5,7,0.570998,0.0473317,0,0,0.00505497,0.00505497
1,5,8,0.719218,0.0264038,0,0,0.0033237,0.0033237
1,5,9,0.885998,0.0126627,0,0,0.00213482,0.00213482
2,0,0,0.0261855,7.21212,0,0,1.40306,1.40306
2,0,1,0.0752621,5.96911,0,0,0.820467,0.820467
2,0,2,0.124459,4.75008,0,0,0.410293,0.410293
2,0,3,0.173906,3.54449,0,0,0.265436,0.265436
2,0,4,0.244757,2.22851,0,0,0.133171,0.133171
2,0,5,0.343399,1.15026,0,0,0.0730182,0.0730182
2,0,6,0.442389,0.609219,0,0,0.0332124,0.0332124
2,0,7,0.553905,0.276519,0,0,0.0222908,0.0222908
2,0,8,0.693653,0.110362,0,0,0.0277575,0.0277575
2,1,0,0.0747998,2.58515,0,0,0.265607,0.265607
2,1,1,0.12494,2.22436,0,0,0.161618,0.161618
2,1,2,0.174545,1.74544,0,0,0.0954426,0.0954426
2,1,3,0.246966,1.24362,0,0,0.0612524,0.0612524
2,1,4,0.346388,0.740159,0,0,0.0366607,0.0366607
2,1,5,0.445954,0.415374,0,0,0.0211598,0.0211598
2,1,6,0.565806,0.214794,0,0,0.00978138,0.00978138
2,1,7,0.71416,0.0964148,0,0,0.00484696,0.00484696
2,1,8,0.876173,0.0386055,0,0,0.00300555,0.00300555
2,2,0,0.0256293,1.44039,0,0,0.150845,0.150845
2,2,1,0.0746183,1.30464,0,0,0.0929551,0.0929551
2,2,2,0.124826,1.09697,0,0,0.0715167,0.0715167
2,2,3,0.174838,0.930539,0,0,0.0682555,0.0682555
2,2,4,0.248284,0.713585,0,0,0.036182,0.036182
2,2,5,0.347361,0.467819,0,0,0.0220377,0.0220377
2,2,6,0.446878,0.302204,0,0,0.014288,0.014288
2,2,7,0.56772,0.170705,0,0,0.00947966,0.00947966
2,2,8,0.717275,0.0827501,0,0,0.00513284,0.00513284
2,2,9,0.885805,0.037609,0,0,0.0024533,0.0024533
2,3,0,0.0245322,0.811506,0,0,0.0926479,0.0926479
2,3,1,0.0745623,0.712359,0,0,0.0615081,0.0615081
2,3,2,0.124604,0.615895,0,0,0.0431895,0.0431895
2,3,3,0.174769,0.513196,0,0,0.0347004,0.0347004
2,3,4,0.248787,0.397832,0,0,0.0250359,0.0250359
2,3,5,0.347993,0.288856,0,0,0.0178202,0.0178202
2,3,6,0.447502,0.199136,0,0,0.0111894,0.0111894
2,3,7,0.568299,0.125331,0,0,0.00752808,0.00752808
2,3,8,0.718427,0.0672595,0,0,0.00425917,0.00425917
2,3,9,0.887372,0.0332287,0,0,0.00219203,0.00219203
2,4,0,0.0238661,0.453126,0,0,0.039089,0.039089
2,4,1,0.0744191,0.424625,0,0,0.0367383,0.0367383
2,4,2,0.124401,0.356496,0,0,0.0252349,0.0252349
2,4,3,0.174682,0.295989,0,0,0.0244716,0.0244716
2,4,4,0.248553,0.245039,0,0,0.0178194,0.0178194
2,4,5,0.348607,0.175231,0,0,0.013214,0.013214
2,4,6,0.447824,0.129458,0,0,0.0106816,0.0106816
2,4,7,0.568541,0.0847475,0,0,0.00604307,0.00604307
2,4,8,0.71767,0.0464422,0,0,0.00340942,0.00340942
2,4,9,0.886585,0.0226838,0,0,0.00135422,0.00135422
2,5,0,0.0233795,0.267424,0,0,0.0335904,0.0335904
2,5,1,0.073947,0.236491,0,0,0.028133,0.028133
2,5,2,0.12423,0.223586,0,0,0.0225978,0.0225978
2,5,3,0.174201,0.178614,0,0,0.015684,0.015684
2,5,4,0.247903,0.140737,0,0,0.0118422,0.0118422
2,5,5,0.347679,0.0972235,0,0,0.00943329,0.00943329
2,5,6,0.447043,0.0681767,0,0,0.00644351,0.00644351
2,5,7,0.566461,0.0387965,0,0,0.00397635,0.00397635
2,5,8,0.714607,0.0169195,0,0,0.00182027,0.00182027
2,5,9,0.875439,0.00447547,0,0,0.000700507,0.000700507
3,0,0,0.0255666,7.91221,0,0,1.77182,1.77182
3,0,1,0.0745612,6.33397,0,0,1.0034,1.0034
3,0,2,0.124047,4.88148,0,0,0.570239,0.570239
3,0,3,0.173406,3.50473,0,0,0.341885,0.341885
3,0,4,0.24271,2.19201,0,0,0.194677,0.194677
3,0,5,0.341512,1.12195,0,0,0.078443,0.078443
