ixq2,iz,point,x,y,exl,exh,eyl,eyh
1,0,0,0.124787,5.0464,0,0,0.360788,0.360788
1,0,1,0.174371,3.85353,0,0,0.203027,0.203027
1,0,2,0.246331,2.49692,0,0,0.111501,0.111501
1,0,3,0.345124,1.34283,0,0,0.0720688,0.0720688
1,0,4,0.443954,0.72439,0,0,0.03927,0.03927
1,0,5,0.559167,0.346923,0,0,0.0243976,0.0243976
1,0,6,0.703579,0.137289,0,0,0.00954295,0.00954295
1,0,7,0.836179,0.0530851,0,0,0.0253624,0.0253624
1,1,0,0.0756148,2.80581,0,0,0.395022,0.395022
1,1,1,0.125302,2.41251,0,0,0.221408,0.221408
1,1,2,0.174821,1.94785,0,0,0.130867,0.130867
1,1,3,0.247832,1.39939,0,0,0.0771071,0.0771071
1,1,4,0.347079,0.855304,0,0,0.0426835,0.0426835
1,1,5,0.446904,0.505195,0,0,0.025151,0.025151
1,1,6,0.56772,0.264795,0,0,0.0130901,0.0130901
1,1,7,0.71653,0.124293,0,0,0.00723744,0.00723744
1,1,8,0.882122,0.0528477,0,0,0.00304443,0.00304443
1,2,0,0.0756316,1.4559,0,0,0.1406,0.1406
1,2,1,0.125388,1.25315,0,0,0.089729,0.089729
1,2,2,0.175035,1.04138,0,0,0.0905683,0.0905683
1,2,3,0.248868,0.796054,0,0,0.0612766,0.0612766
1,2,4,0.347859,0.527443,0,0,0.0309214,0.0309214
1,2,5,0.447382,0.345873,0,0,0.0204464,0.0204464
1,2,6,0.569048,0.207623,0,0,0.0101016,0.0101016
1,2,7,0.718587,0.105292,0,0,0.00525189,0.00525189
1,2,8,0.888867,0.0489912,0,0,0.00241467,0.00241467
1,3,0,0.0281926,0.873712,0,0,0.108779,0.108779
1,3,1,0.0753546,0.786136,0,0,0.103457,0.103457
1,3,2,0.125125,0.658019,0,0,0.070135,0.070135
1,3,3,0.175094,0.597193,0,0,0.0543977,0.0543977
1,3,4,0.249267,0.457503,0,0,0.0381435,0.0381435
1,3,5,0.348327,0.318275,0,0,0.0225057,0.0225057
1,3,6,0.447455,0.230775,0,0,0.0145455,0.0145455
1,3,7,0.569279,0.145114,0,0,0.00855282,0.00855282
1,3,8,0.719324,0.0814378,0,0,0.00525333,0.00525333
1,3,9,0.88889,0.0407855,0,0,0.00298262,0.00298262
1,4,0,0.0273408,0.46977,0,0,0.0718054,0.0718054
1,4,1,0.0753001,0.413385,0,0,0.0457131,0.0457131
1,4,2,0.125082,0.388779,0,0,0.0367195,0.0367195
1,4,3,0.174699,0.33482,0,0,0.0292499,0.0292499
1,4,4,0.249216,0.275498,0,0,0.0216016,0.0216016
1,4,5,0.3489,0.196342,0,0,0.0206612,0.0206612
1,4,6,0.448237,0.144557,0,0,0.0152154,0.0152154
1,4,7,0.570233,0.0970944,0,0,0.00863512,0.00863512
1,4,8,0.719658,0.0595992,0,0,0.00559956,0.00559956
1,4,9,0.890306,0.0300461,0,0,0.00291224,0.00291224
1,5,0,0.0272955,0.266199,0,0,0.0483053,0.0483053
1,5,1,0.0753321,0.241966,0,0,0.0372599,0.0372599
1,5,2,0.124618,0.224683,0,0,0.0271708,0.0271708
1,5,3,0.174638,0.17052,0,0,0.0254954,0.0254954
1,5,4,0.248802,0.155443,0,0,0.0179586,0.0179586
1,5,5,0.348778,0.111687,0,0,0.0123342,0.0123342
1,5,6,0.448064,0.0809887,0,0,0.00937316,0.00937316
1,5,7,0.570998,0.0545939,0,0,0.00581519,0.00581519
1,5,8,0.719218,0.0313645,0,0,0.00370896,0.00370896
1,5,9,0.885998,0.0148327,0,0,0.00238045,0.00238045
2,0,0,0.0261855,8.42431,0,0,1.62372,1.62372
2,0,1,0.0752621,7.01346,0,0,0.93379,0.93379
2,0,2,0.124459,5.52582,0,0,0.4779,0.4779
2,0,3,0.173906,4.15087,0,0,0.306187,0.306187
2,0,4,0.244757,2.60099,0,0,0.151794,0.151794
2,0,5,0.343399,1.33935,0,0,0.0852008,0.0852008
2,0,6,0.442389,0.706722,0,0,0.0374505,0.0374505
2,0,7,0.553905,0.327687,0,0,0.0242072,0.0242072
2,0,8,0.693653,0.128619,0,0,0.0306678,0.0306678
2,1,0,0.0747998,3.03225,0,0,0.305606,0.305606
2,1,1,0.12494,2.5988,0,0,0.189463,0.189463
2,1,2,0.174545,2.05281,0,0,0.112348,0.112348
2,1,3,0.246966,1.4523,0,0,0.0687136,0.0687136
2,1,4,0.346388,0.861577,0,0,0.0439674,0.0439674
2,1,5,0.445954,0.486709,0,0,0.024711,0.024711
2,1,6,0.565806,0.251811,0,0,0.0110076,0.0110076
2,1,7,0.71416,0.112921,0,0,0.00518333,0.00518333
2,1,8,0.876173,0.0456425,0,0,0.00410989,0.00410989
2,2,0,0.0256293,1.67712,0,0,0.173878,0.173878
2,2,1,0.0746183,1.5215,0,0,0.105835,0.105835
2,2,2,0.124826,1.27951,0,0,0.0847544,0.0847544
