ixq2,ipt,point,x,y,exl,exh,eyl,eyh
1,0,0,0.445409,1.28606,0,0,0.236657,0.236657
1,0,1,0.545181,0.734414,0,0,0.103765,0.103765
1,0,2,0.645084,0.400575,0,0,0.0627163,0.0627163
1,0,3,0.741561,0.219061,0,0,0.0538799,0.0538799
1,1,0,0.34385,2.25139,0,0,0.336529,0.336529
1,1,1,0.444763,1.18053,0,0,0.126255,0.126255
1,1,2,0.54652,0.654146,0,0,0.0860863,0.0860863
1,1,3,0.64536,0.311821,0,0,0.0347287,0.0347287
1,1,4,0.742983,0.205907,0,0,0.0444497,0.0444497
1,2,0,0.244901,4.17436,0,0,0.305391,0.305391
1,2,1,0.342843,1.93971,0,0,0.190701,0.190701
1,2,2,0.444488,1.08805,0,0,0.0964601,0.0964601
1,2,3,0.545481,0.529017,0,0,0.0594968,0.0594968
1,2,4,0.644154,0.315301,0,0,0.0301934,0.0301934
1,2,5,0.742483,0.20739,0,0,0.025932,0.025932
1,3,0,0.246578,3.15477,0,0,0.18594,0.18594
1,3,1,0.343546,1.62163,0,0,0.123839,0.123839
1,3,2,0.444356,0.86241,0,0,0.0910342,0.0910342
1,3,3,0.544123,0.498629,0,0,0.0596171,0.0596171
1,3,4,0.644614,0.281046,0,0,0.0267939,0.0267939
1,3,5,0.74258,0.151066,0,0,0.0288296,0.0288296
1,4,0,0.248373,2.07828,0,0,0.115871,0.115871
1,4,1,0.345209,1.1486,0,0,0.0720415,0.0720415
1,4,2,0.444613,0.655783,0,0,0.050942,0.050942
1,4,3,0.544348,0.369478,0,0,0.036029,0.036029
1,4,4,0.642965,0.223311,0,0,0.019602,0.019602
1,4,5,0.7424,0.125962,0,0,0.0161059,0.0161059
1,5,0,0.251843,1.10972,0,0,0.0631843,0.0631843
1,5,1,0.34574,0.700058,0,0,0.0404249,0.0404249
1,5,2,0.445373,0.434925,0,0,0.0275461,0.0275461
1,5,3,0.544058,0.258146,0,0,0.0185033,0.0185033
1,5,4,0.642948,0.164906,0,0,0.0144523,0.0144523
1,5,5,0.742849,0.0952286,0,0,0.0113966,0.0113966
1,6,0,0.260253,0.592468,0,0,0.0396806,0.0396806
1,6,1,0.346158,0.41866,0,0,0.0205481,0.0205481
