xq2_bin,z_bin0,pt2_bin0,phi_content_sum,phi_error_sum,phi_bin_count,z_bin,pt2_bin,spec_content,spec_error,_merge,diff_phi_minus_spec,ratio_phi_over_spec
0,0,0,18313.256,434.6467940418749,8,0.0,0.0,18109.9,4420.39,both,203.35599999999977,1.0112289962948442
0,0,1,22908.755,529.3150920321468,8,0.0,1.0,21709.5,4679.98,both,1199.255000000001,1.0552410235150511
0,0,2,18430.138,309.97471099596174,8,0.0,2.0,19427.8,2903.82,both,-997.6620000000003,0.9486477110120549
0,0,3,12789.87,243.58200038730286,8,0.0,3.0,13629.1,1660.62,both,-839.2299999999996,0.9384236670066256
0,0,4,10725.329,161.9188361650367,8,0.0,4.0,11590.6,1375.35,both,-865.2710000000006,0.9253471778855279
0,0,5,1463.2055,53.67566077059508,8,0.0,5.0,1543.31,181.217,both,-80.10449999999992,0.9480956515541272
0,0,6,0.0,0.0,8,0.0,6.0,0.0,0.0,both,0.0,
0,0,7,0.0,0.0,8,0.0,7.0,0.0,0.0,both,0.0,
0,0,8,0.0,0.0,8,0.0,8.0,0.0,0.0,both,0.0,
0,0,9,0.0,0.0,8,0.0,9.0,0.0,0.0,both,0.0,
0,0,10,0.0,0.0,8,0.0,10.0,0.0,0.0,both,0.0,
0,1,0,21453.29,378.15036418334967,8,1.0,0.0,-20944.8,3218.97,both,42398.09,-1.0242776249952257
0,1,1,29663.69,392.3667214718904,8,1.0,1.0,-25671.7,2551.21,both,55335.39,-1.1555015834557119
0,1,2,32059.644,390.0188276006172,8,1.0,2.0,29891.7,1802.45,both,2167.9439999999995,1.072526621102179
0,1,3,28025.993000000002,299.5197643267302,8,1.0,3.0,28055.1,1128.57,both,-29.106999999996333,0.9989625059258389
0,1,4,42228.155,333.9913241160315,8,1.0,4.0,42549.3,1343.39,both,-321.1450000000041,0.9924524022721877
0,1,5,24350.129,200.46917573681995,8,1.0,5.0,24597.9,1095.91,both,-247.77100000000064,0.9899271482524931
0,1,6,11565.011,130.97381904854115,8,1.0,6.0,11588.2,447.658,both,-23.189000000000306,0.9979989126870437
0,1,7,5656.935,94.01945236476332,8,1.0,7.0,5737.17,345.119,both,-80.23499999999967,0.9860148819017042
0,1,8,1147.0958,37.68159852063604,8,1.0,8.0,1090.61,58.903,both,56.485800000000154,1.051792849873007
0,1,9,55.278999999999996,7.9638310655990185,8,1.0,9.0,92.1824,43.3991,both,-36.903400000000005,0.5996697851216718
0,1,10,0.0,0.0,8,1.0,10.0,0.0,0.0,both,0.0,
0,2,0,7841.0574,175.4269302559516,8,2.0,0.0,-6143.02,1412.13,both,13984.0774,-1.2764173647489345
0,2,1,12067.305,226.38348369379776,8,2.0,1.0,10313.8,1249.2,both,1753.505000000001,1.170015416238438
0,2,2,13865.7977,214.22521321806383,8,2.0,2.0,12988.1,925.168,both,877.6976999999988,1.0675770666995172
0,2,3,14540.1419,170.09916392204872,8,2.0,3.0,14131.2,744.148,both,408.9418999999998,1.0289389365375905
0,2,4,25917.539999999997,224.0872350727725,8,2.0,4.0,25719.0,973.366,both,198.53999999999724,1.007719584742797
0,2,5,19949.635000000002,184.82225925080022,8,2.0,5.0,19803.9,685.864,both,145.73500000000058,1.0073589040542519
0,2,6,13696.121,137.9711328444831,8,2.0,6.0,13532.7,406.987,both,163.42099999999846,1.0120760084831555
0,2,7,12091.772,127.41285708648088,8,2.0,7.0,12063.4,429.842,both,28.372000000001208,1.0023519074224514
0,2,8,5984.19,89.43365777418477,8,2.0,8.0,6029.21,271.513,both,-45.02000000000044,0.9925330184219823
0,2,9,3089.8011,61.05853652406026,8,2.0,9.0,3081.32,135.735,both,8.48109999999997,1.0027524242856958
0,2,10,1006.9730999999999,33.49557058408768,8,2.0,10.0,1022.05,66.3544,both,-15.076900000000023,0.985248373367252
0,3,0,3049.9026000000003,82.98716050383939,8,3.0,0.0,-2633.89,367.335,both,5683.792600000001,-1.1579460797527612
0,3,1,5294.3703,100.03384676268327,8,3.0,1.0,4984.08,391.857,both,310.29029999999966,1.0622562840082823
0,3,2,6234.751,123.27727396154573,8,3.0,2.0,6165.04,330.591,both,69.71100000000024,1.0113074692135007
0,3,3,6334.7080000000005,111.83067025628523,8,3.0,3.0,6389.64,333.949,both,-54.93199999999979,0.9914029585391353
0,3,4,13432.43,141.94069925053208,8,3.0,4.0,13027.9,677.388,both,404.53000000000065,1.0310510519730731
0,3,5,11335.4097,133.06788220081359,8,3.0,5.0,11229.8,393.636,both,105.60970000000088,1.0094044150385582
0,3,6,8814.610999999999,112.93932749447555,8,3.0,6.0,8790.09,365.558,both,24.52099999999882,1.0027896187638579
0,3,7,9463.91,108.76892001252013,8,3.0,7.0,9318.71,300.33,both,145.20000000000073,1.015581555816202
0,3,8,5621.849,83.46451067070363,8,3.0,8.0,5583.6,166.902,both,38.248999999999796,1.0068502399885377
0,3,9,3822.9703,70.26523472706826,8,3.0,9.0,3904.49,132.069,both,-81.51969999999983,0.9791215498054804
0,3,10,2650.8884,54.446925351116015,8,3.0,10.0,2640.04,125.589,both,10.848399999999856,1.0041091801639368
