xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,phi_error_sum,z_bin0,pt2_bin0
0,1,1,91386.92,8,991.583520464111,0,0
0,1,2,102594.57400000001,8,604.9400487106553,0,1
0,1,3,101697.98999999999,8,467.5683861483366,0,2
0,1,4,72816.29,8,334.3475237942252,0,3
0,1,5,65380.91,8,312.3790999081885,0,4
0,1,6,8889.062,8,103.00890230028665,0,5
0,1,7,0.0,8,0.0,0,6
0,1,8,0.0,8,0.0,0,7
0,1,9,0.0,8,0.0,0,8
0,1,10,0.0,8,0.0,0,9
0,1,11,0.0,8,0.0,0,10
0,2,1,91159.49,8,755.1983672274457,1,0
0,2,2,166743.733,8,660.2823821574902,1,1
0,2,3,181657.31999999998,8,599.1022488493095,1,2
0,2,4,163682.35,8,493.82497362672945,1,3
0,2,5,248030.35,8,598.7091992676912,1,4
0,2,6,149391.44,8,434.98414558583625,1,5
0,2,7,75501.62,8,298.67884809925863,1,6
0,2,8,40931.98,8,214.4936340869351,1,7
0,2,9,8709.925,8,97.53037338721717,1,8
0,2,10,577.1021000000001,8,25.017818968225427,1,9
0,2,11,0.0,8,0.0,1,10
0,3,1,47342.7684,8,350.96446317247404,2,0
0,3,2,73780.8248,8,376.9710109307324,2,1
0,3,3,85508.01999999999,8,370.4203500289502,2,2
0,3,4,86673.645,8,339.33440370568087,2,3
0,3,5,151578.3,8,448.6689819964937,2,4
0,3,6,112435.75,8,369.67600805905704,2,5
0,3,7,78289.09,8,302.44314291354004,2,6
0,3,8,71630.13,8,284.5825539399772,2,7
0,3,9,37420.93,8,202.55776319331727,2,8
0,3,10,20760.073,8,149.77239034491637,2,9
0,3,11,7375.329,8,88.3038041495382,2,10
0,4,1,22155.374,8,198.40159242183515,3,0
0,4,2,35023.53,8,255.67338298935226,3,1
0,4,3,40849.935,8,234.13229444937747,3,2
0,4,4,41083.672399999996,8,223.91826626014432,3,3
0,4,5,79911.8579,8,336.7170311041899,3,4
0,4,6,64122.469,8,272.2319114537456,3,5
0,4,7,47459.748999999996,8,232.10968538794324,3,6
0,4,8,47140.659999999996,8,229.8998916628714,3,7
0,4,9,27586.211,8,173.2347535900346,3,8
0,4,10,18919.032,8,142.45013814640546,3,9
0,4,11,14298.654,8,122.97608034439055,3,10
0,5,1,13281.8262,8,135.65903952296765,4,0
0,5,2,19282.217,8,161.0210940855455,4,1
0,5,3,20933.9751,8,157.61144378692842,4,2
0,5,4,21119.975,8,157.56383841214964,4,3
0,5,5,41058.8,8,216.28405963764413,4,4
0,5,6,35378.979999999996,8,197.65029718616665,4,5
0,5,7,27555.6716,8,173.90947380592036,4,6
0,5,8,29101.3435,8,177.82813966786162,4,7
0,5,9,17680.414,8,136.6485978770364,4,8
0,5,10,12908.121000000001,8,117.0835550890047,4,9
0,5,11,10292.655,8,104.34973407555958,4,10
0,6,1,7953.0527999999995,8,100.34068814233636,5,0
0,6,2,10548.6398,8,113.08684798348568,5,1
0,6,3,10861.710000000001,8,111.3463245596818,5,2
0,6,4,10698.375,8,108.1716610316214,5,3
0,6,5,20462.622,8,152.3312999723957,5,4
0,6,6,17542.551,8,137.500526017612,5,5
0,6,7,14419.48,8,124.03375241376841,5,6
0,6,8,15888.08,8,129.54603138811316,5,7
