xq2_bin,z_bin_phi,pt2_bin_phi,phi_content_sum,phi_bin_count,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,spec_content,error,_merge,diff(phiSum - spec),ratio(phiSum/spec)
0,1,1,18313.256,8,0,0,0.0,0.0,15452.0,3785.51,both,2861.256000000001,1.1851705928035206
0,1,2,22908.755,8,0,1,0.0,1.0,18628.8,4090.58,both,4279.955000000002,1.2297493665721895
0,1,3,18430.138,8,0,2,0.0,2.0,16547.1,2479.96,both,1883.0380000000005,1.1137986716705646
0,1,4,12789.87,8,0,3,0.0,3.0,11683.8,1423.09,both,1106.0700000000015,1.0946669747856008
0,1,5,10725.329,8,0,4,0.0,4.0,9911.87,1174.81,both,813.4589999999989,1.082069175644959
0,1,6,1463.2055,8,0,5,0.0,5.0,1336.69,157.009,both,126.51549999999997,1.0946483477844526
0,1,7,0.0,8,0,6,0.0,6.0,0.0,0.0,both,0.0,
0,1,8,0.0,8,0,7,0.0,7.0,0.0,0.0,both,0.0,
0,1,9,0.0,8,0,8,0.0,8.0,0.0,0.0,both,0.0,
0,1,10,0.0,8,0,9,0.0,9.0,0.0,0.0,both,0.0,
0,1,11,0.0,8,0,10,0.0,10.0,0.0,0.0,both,0.0,
0,2,1,21453.29,8,1,0,1.0,0.0,-17987.3,2766.15,both,39440.59,-1.1926909541732222
0,2,2,29663.69,8,1,1,1.0,1.0,-21873.2,2248.86,both,51536.89,-1.356165993087431
0,2,3,32059.644,8,1,2,1.0,2.0,25551.9,1567.96,both,6507.743999999999,1.2546872835288179
0,2,4,28025.993000000002,8,1,3,1.0,3.0,24168.3,984.027,both,3857.693000000003,1.1596178878944734
0,2,5,42228.155,8,1,4,1.0,4.0,36392.1,1255.46,both,5836.055,1.1603659860244393
0,2,6,24350.129,8,1,5,1.0,5.0,21137.7,942.474,both,3212.429,1.1519762793492196
0,2,7,11565.011,8,1,6,1.0,6.0,9850.44,384.06,both,1714.571,1.1740603465428956
0,2,8,5656.935,8,1,7,1.0,7.0,4893.22,307.973,both,763.7150000000001,1.1560761625269251
0,2,9,1147.0958,8,1,8,1.0,8.0,943.782,43.3066,both,203.31380000000001,1.2154245365984941
0,2,10,55.278999999999996,8,1,9,1.0,9.0,80.2154,38.882,both,-24.936400000000006,0.689132012057535
0,2,11,0.0,8,1,10,1.0,10.0,0.0,0.0,both,0.0,
0,3,1,7841.0574,8,2,0,2.0,0.0,-5302.73,1178.98,both,13143.7874,-1.4786831311418835
0,3,2,12067.305,8,2,1,2.0,1.0,8893.8,1066.5,both,3173.505000000001,1.356822168252041
0,3,3,13865.7977,8,2,2,2.0,2.0,10999.6,805.27,both,2866.197699999999,1.2605729026510053
0,3,4,14540.1419,8,2,3,2.0,3.0,12173.3,627.866,both,2366.8419000000013,1.194428946957686
0,3,5,25917.539999999997,8,2,4,2.0,4.0,22057.3,877.118,both,3860.239999999998,1.1750096339987215
0,3,6,19949.635000000002,8,2,5,2.0,5.0,16792.7,584.968,both,3156.9350000000013,1.1879944856991431
0,3,7,13696.121,8,2,6,2.0,6.0,11507.8,344.296,both,2188.321,1.1901598046542345
0,3,8,12091.772,8,2,7,2.0,7.0,10290.9,384.474,both,1800.8720000000012,1.1749965503503097
0,3,9,5984.19,8,2,8,2.0,8.0,5145.16,235.961,both,839.0299999999997,1.163071702337731
0,3,10,3089.8011,8,2,9,2.0,9.0,2630.8,135.696,both,459.00109999999995,1.1744720617302722
0,3,11,1006.9730999999999,8,2,10,2.0,10.0,867.099,51.2842,both,139.87409999999988,1.1613127220767177
0,4,1,3049.9026000000003,8,3,0,3.0,0.0,2237.55,335.159,both,812.3526000000002,1.3630545015753839
0,4,2,5294.3703,8,3,1,3.0,1.0,4247.6,358.448,both,1046.7702999999992,1.2464380591392785
0,4,3,6234.751,8,3,2,3.0,2.0,5250.84,312.045,both,983.9110000000001,1.1873816379855413
0,4,4,6334.7080000000005,8,3,3,3.0,3.0,5458.17,290.742,both,876.5380000000005,1.1605919200024917
0,4,5,13432.43,8,3,4,3.0,4.0,11106.9,588.514,both,2325.5300000000007,1.2093770539034294
0,4,6,11335.4097,8,3,5,3.0,5.0,9634.46,361.507,both,1700.949700000001,1.1765485247746112
0,4,7,8814.610999999999,8,3,6,3.0,6.0,7487.51,305.017,both,1327.1009999999987,1.1772419669556367
0,4,8,9463.91,8,3,7,3.0,7.0,7982.59,251.145,both,1481.3199999999997,1.1855688441971841
0,4,9,5621.849,8,3,8,3.0,8.0,4780.36,156.465,both,841.4890000000005,1.176030466324712
0,4,10,3822.9703,8,3,9,3.0,9.0,3294.98,114.368,both,527.9902999999999,1.160240820885104
0,4,11,2650.8884,8,3,10,3.0,10.0,2253.2,128.02,both,397.6884,1.1764993786614593
0,5,1,1942.372,8,4,0,4.0,0.0,1552.58,161.842,both,389.79200000000014,1.2510608149016478
0,5,2,2859.3558000000003,8,4,1,4.0,1.0,2369.04,223.421,both,490.3158000000003,1.20696813899301
0,5,3,3083.2925999999998,8,4,2,4.0,2.0,2593.71,220.725,both,489.58259999999973,1.1887576483107207
0,5,4,3378.4836,8,4,3,4.0,3.0,2857.84,180.426,both,520.6435999999999,1.1821808078828766
0,5,5,7088.153,8,4,4,4.0,4.0,5954.6,368.991,both,1133.5529999999999,1.190365935579216
0,5,6,6118.426,8,4,5,4.0,5.0,5306.74,286.425,both,811.6860000000006,1.152953790839574
0,5,7,5432.949,8,4,6,4.0,6.0,4635.35,192.479,both,797.5989999999993,1.1720687758205959
0,5,8,5987.785,8,4,7,4.0,7.0,5133.3,178.261,both,854.4849999999997,1.1664591977869985
0,5,9,3956.6143,8,4,8,4.0,8.0,3383.43,163.552,both,573.1843000000003,1.1694092385537753
0,5,10,3125.7456,8,4,9,4.0,9.0,2645.94,159.483,both,479.80560000000014,1.1813365382434977
0,5,11,2680.9697,8,4,10,4.0,10.0,2292.73,76.1452,both,388.2397000000001,1.169335115779006
0,6,1,1185.0533,8,5,0,5.0,0.0,978.871,116.406,both,206.18230000000005,1.2106327595771047
0,6,2,1664.435,8,5,1,5.0,1.0,1356.28,123.499,both,308.155,1.22720603415224
0,6,3,1847.266,8,5,2,5.0,2.0,1578.18,106.987,both,269.086,1.1705039982764958
0,6,4,1857.3960000000002,8,5,3,5.0,3.0,1611.89,105.874,both,245.50600000000009,1.152309400765561
0,6,5,3846.0181,8,5,4,5.0,4.0,3312.23,164.514,both,533.7880999999998,1.1611567131509586
0,6,6,3563.928,8,5,5,5.0,5.0,3051.4,194.738,both,512.5279999999998,1.1679648685849118
0,6,7,3209.807,8,5,6,5.0,6.0,2699.98,192.83,both,509.82699999999977,1.1888262135275076
0,6,8,3781.1079999999997,8,5,7,5.0,7.0,3290.21,174.248,both,490.8979999999997,1.1491995951626186
0,6,9,2642.4410000000003,8,5,8,5.0,8.0,2345.46,134.767,both,296.9810000000002,1.1266195117375697
0,6,10,2136.227,8,5,9,5.0,9.0,1828.19,124.989,both,308.0369999999998,1.1684928809368829
0,6,11,1963.3096,8,5,10,5.0,10.0,1662.4,122.012,both,300.90959999999995,1.1810091434071222
