xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,z0,pt20
0,1,1,18313.256,8,0,0
0,1,2,22908.755,8,0,1
0,1,3,18430.138,8,0,2
0,1,4,12789.87,8,0,3
0,1,5,10725.329,8,0,4
0,1,6,1463.2055,8,0,5
0,1,7,0.0,8,0,6
0,1,8,0.0,8,0,7
0,1,9,0.0,8,0,8
0,1,10,0.0,8,0,9
0,1,11,0.0,8,0,10
0,2,1,21453.29,8,1,0
0,2,2,29663.69,8,1,1
0,2,3,32059.644,8,1,2
0,2,4,28025.993000000002,8,1,3
0,2,5,42228.155,8,1,4
0,2,6,24350.129,8,1,5
0,2,7,11565.011,8,1,6
0,2,8,5656.935,8,1,7
0,2,9,1147.0958,8,1,8
0,2,10,55.278999999999996,8,1,9
0,2,11,0.0,8,1,10
0,3,1,7841.0574,8,2,0
0,3,2,12067.305,8,2,1
0,3,3,13865.7977,8,2,2
0,3,4,14540.1419,8,2,3
0,3,5,25917.539999999997,8,2,4
0,3,6,19949.635000000002,8,2,5
0,3,7,13696.121,8,2,6
0,3,8,12091.772,8,2,7
0,3,9,5984.19,8,2,8
0,3,10,3089.8011,8,2,9
0,3,11,1006.9730999999999,8,2,10
0,4,1,3049.9026000000003,8,3,0
0,4,2,5294.3703,8,3,1
0,4,3,6234.751,8,3,2
0,4,4,6334.7080000000005,8,3,3
0,4,5,13432.43,8,3,4
0,4,6,11335.4097,8,3,5
0,4,7,8814.610999999999,8,3,6
0,4,8,9463.91,8,3,7
0,4,9,5621.849,8,3,8
0,4,10,3822.9703,8,3,9
0,4,11,2650.8884,8,3,10
0,5,1,1942.372,8,4,0
0,5,2,2859.3558000000003,8,4,1
0,5,3,3083.2925999999998,8,4,2
0,5,4,3378.4836,8,4,3
0,5,5,7088.153,8,4,4
0,5,6,6118.426,8,4,5
0,5,7,5432.949,8,4,6
0,5,8,5987.785,8,4,7
0,5,9,3956.6143,8,4,8
0,5,10,3125.7456,8,4,9
0,5,11,2680.9697,8,4,10
0,6,1,1185.0533,8,5,0
0,6,2,1664.435,8,5,1
0,6,3,1847.266,8,5,2
0,6,4,1857.3960000000002,8,5,3
0,6,5,3846.0181,8,5,4
0,6,6,3563.928,8,5,5
0,6,7,3209.807,8,5,6
0,6,8,3781.1079999999997,8,5,7
0,6,9,2642.4410000000003,8,5,8
0,6,10,2136.227,8,5,9
0,6,11,1963.3096,8,5,10
0,7,1,770.7470000000001,8,6,0
0,7,2,1074.688,8,6,1
0,7,3,1206.185,8,6,2
0,7,4,1077.3097,8,6,3
0,7,5,2155.06,8,6,4
0,7,6,1941.6545,8,6,5
0,7,7,1835.6548,8,6,6
0,7,8,2102.667,8,6,7
0,7,9,1434.3328999999999,8,6,8
0,7,10,1020.3104,8,6,9
0,7,11,466.3515,8,6,10
0,8,1,283.9703,8,7,0
0,8,2,392.02799999999996,8,7,1
0,8,3,403.16790000000003,8,7,2
0,8,4,375.8724,8,7,3
0,8,5,600.8213000000001,8,7,4
0,8,6,451.97700000000003,8,7,5
0,8,7,250.6483,8,7,6
0,8,8,167.2538,8,7,7
0,8,9,0.0,8,7,8
0,8,10,0.0,8,7,9
0,8,11,0.0,8,7,10
1,1,1,10316.214,8,0,0
1,1,2,10184.23,8,0,1
1,1,3,8228.566,8,0,2
1,1,4,4822.7519999999995,8,0,3
1,1,5,3309.516,8,0,4
1,1,6,27.3093,8,0,5
1,1,7,0.0,8,0,6
1,1,8,0.0,8,0,7
1,1,9,0.0,8,0,8
1,1,10,0.0,8,0,9
1,1,11,0.0,8,0,10
1,2,1,24197.05,8,1,0
1,2,2,27764.600000000002,8,1,1
1,2,3,27701.549,8,1,2
1,2,4,23232.074,8,1,3
1,2,5,28693.273,8,1,4
1,2,6,13190.357,8,1,5
1,2,7,5051.572,8,1,6
