xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
1,2,1,1,8,17012354.04508287,738587.269975968
1,2,1,2,8,9086317.546040734,305368.5564446248
1,2,1,3,8,3313575.4981857245,79874.70437543857
1,2,1,4,8,1781046.8720961902,37642.18591301028
1,2,1,5,8,1680327.3779922586,29242.000655290834
1,2,1,6,8,745508.2503678466,30170.091620790336
1,2,2,1,6,1451834.3873930199,26211.21400997493
1,2,2,2,8,944206.92539215,66767.37685106239
1,2,2,3,8,698171.9199802164,11913.99585427144
1,2,2,4,8,482410.9937165788,6262.142546565741
1,2,2,5,8,622504.5032140294,5703.948427877814
1,2,2,6,8,348232.9988601928,3323.267830799445
1,2,2,7,8,194653.93522945617,2466.130081997506
1,2,2,8,8,143178.1318692031,2534.055603001834
1,2,2,9,8,64340.300900020906,2433.7418646280585
1,2,2,10,3,17282.24188225085,2542.376881702966
1,2,3,1,8,882906.7782218532,61508.59870589492
1,2,3,2,6,284805.37554248155,6329.057815969809
1,2,3,3,8,325289.4139171021,11588.80106185683
1,2,3,4,8,254543.84578720754,5979.691100805412
1,2,3,5,8,343070.6012499172,5110.697818278915
1,2,3,6,8,214140.16533475815,2825.7783632802075
1,2,3,7,8,127770.5717096611,1634.6668767684305
1,2,3,8,8,104501.39736248682,1292.5994072615815
1,2,3,9,8,49787.692647334945,837.6571984135251
1,2,3,10,8,30918.396108942485,694.2420381098754
1,2,3,11,7,19126.91748068052,670.3364635457066
1,2,4,1,6,166596.7058197901,10240.513416120704
1,2,4,2,6,122376.13191636819,5309.246115719224
1,2,4,3,6,125833.71351237709,7187.1317363508115
1,2,4,4,6,98559.84321772329,2360.2960632413246
1,2,4,5,6,154656.72804392895,2064.380809489967
1,2,4,6,7,118187.88031407028,3138.1260125005956
1,2,4,7,8,87809.3587465797,2197.7536458570175
1,2,4,8,8,79914.31622972919,1328.6814066344568
1,2,4,9,8,41540.41950199816,767.6535029023831
1,2,4,10,8,26251.02429230664,549.7120747053632
1,2,4,11,8,17837.00918440407,424.5823273261024
1,2,5,1,5,73766.30377608603,4414.306790075611
1,2,5,2,5,59507.139511297646,5319.700558685605
1,2,5,3,5,51975.18640194275,1796.5528963138806
1,2,5,4,6,54282.56538928505,2515.139331592607
1,2,5,5,6,87707.99743681528,1771.6611053394338
1,2,5,6,6,61531.37984394477,1180.3319257443047
1,2,5,7,6,46368.28991907995,849.9597256974885
1,2,5,8,6,45698.969050118925,784.7839835118493
1,2,5,9,8,32140.195572186243,952.9693669401629
1,2,5,10,8,21897.03187723505,555.3881195145915
1,2,5,11,8,16476.88035414015,392.07527683185407
1,2,6,1,4,34299.24571440657,2164.940084843144
1,2,6,2,3,21215.278999004906,708.6402197199818
1,2,6,3,5,42536.612862170165,2883.210543797636
1,2,6,4,5,27440.15453881625,1081.2696636517564
1,2,6,5,6,52104.175578050395,1778.8002902304281
1,2,6,6,6,41151.80072609728,979.8214951311925
1,2,6,7,6,29340.90425697169,709.1482914021213
1,2,6,8,6,29829.842155662715,648.7719732955821
1,2,6,9,6,18744.129927523874,465.9097684664957
1,2,6,10,6,13545.891909313727,362.64308684610967
1,2,6,11,8,12613.69206616389,431.2594923558798
1,2,7,1,4,18575.29954609544,1012.8872039869772
1,2,7,2,3,12458.222220497022,449.6498639373743
1,2,7,3,3,12205.115169126451,431.8513207324047
1,2,7,4,4,13157.64754478843,966.60507922617
1,2,7,5,5,26860.765430034633,857.3744810032346
1,2,7,6,6,22056.136427101897,838.4127811486909
1,2,7,7,6,18179.188606493415,570.9994734095436
1,2,7,8,6,17801.701592306745,518.2890166884687
1,2,7,9,6,10955.16627137879,360.0461455015908
1,2,7,10,6,6994.004717056243,277.894037318109
1,2,7,11,6,3141.3530504704972,204.25754737964755
1,2,8,1,4,7035.742427416579,593.0612503684607
1,2,8,2,3,4748.998601449332,270.1967535340517
1,2,8,3,3,4387.882819849741,259.62524432244066
1,2,8,4,3,3775.24300580711,239.91105215921422
1,2,8,5,5,9033.12614528339,664.6253928167054
1,2,8,6,5,5207.220611502198,361.4861830340566
1,2,8,7,5,3249.0851488822254,287.52906855492546
1,2,8,8,4,1813.8378204147218,246.1892009442464
2,3,1,1,7,13797719.734759526,719016.4547987873
2,3,1,2,8,5504570.6326507805,248684.7694831058
2,3,1,3,8,2908920.5233179587,97052.62654213308
2,3,1,4,8,1615202.5352157126,46195.322858207044
2,3,1,5,8,1513440.374129127,52013.76882522112
2,3,1,6,1,59635.786301446984,14857.814838691513
2,3,2,1,6,996204.4226821279,17069.657074028037
2,3,2,2,8,943768.5698230518,39338.75586803853
2,3,2,3,8,632917.8308740307,10100.981739612052
2,3,2,4,8,489890.6758196036,8180.578500550863
2,3,2,5,8,594039.0112664982,6575.581596389288
2,3,2,6,8,327531.12457912386,4211.218374209755
2,3,2,7,8,187663.23754335757,3929.106742937052
2,3,2,8,8,146121.12468944283,4805.269644834126
2,3,2,9,1,10890.016490828346,1804.363835610914
2,3,3,1,8,466675.22335664777,10327.205532506347
2,3,3,2,6,278268.02459140774,4905.083431156882
2,3,3,3,8,311190.84551388863,7933.0081853427
2,3,3,4,8,239286.13480128816,3930.4673796233146
2,3,3,5,8,325172.46209181193,4150.486538685327
2,3,3,6,8,201035.4476507317,2749.196003912118
2,3,3,7,8,117132.2367061113,1614.5013474147895
2,3,3,8,8,94778.47114935695,1303.0574054727133
2,3,3,9,8,46245.7720350617,1021.2557496641065
2,3,3,10,8,30025.008165073843,1129.4150778598942
2,3,3,11,7,26200.255120260215,3604.5036712514275
2,3,4,1,8,205123.89335560473,6197.8533967902085
2,3,4,2,7,161009.38257866912,6500.235158970094
2,3,4,3,6,107092.91379796926,2327.4941303995715
2,3,4,4,6,94915.63940062618,1705.3177057216878
2,3,4,5,8,187530.51537758097,4749.195869516787
2,3,4,6,8,128653.53172747821,3461.1467196732947
2,3,4,7,8,81840.54405097057,1963.8106987942256
2,3,4,8,8,70783.40621715158,1205.8532076835409
2,3,4,9,8,37126.23739024073,689.9265155835634
2,3,4,10,8,22423.360834270658,511.1414214815086
2,3,4,11,8,14844.210324136371,464.68075267060345
2,3,5,1,8,108194.51853915483,3937.056817084604
2,3,5,2,4,55086.274073342225,2566.7007703441677
2,3,5,3,5,51768.14738565797,2007.6106564379238
2,3,5,4,6,53860.547728190075,1917.7228257199683
2,3,5,5,6,82522.05588478275,1412.6284352335451
2,3,5,6,6,61437.6561289441,958.045627558483
2,3,5,7,6,43822.0904491252,744.8077006518134
2,3,5,8,6,40279.483124963175,642.9089774174497
2,3,5,9,7,25323.722797089213,618.1390988565604
2,3,5,10,8,19400.99193943605,503.4589863622806
2,3,5,11,8,10777.186122187508,307.517600257373
2,3,6,1,8,66985.87614390333,2423.0539053620446
