xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
0,1,1,1,8,0.0,0.0
0,1,1,2,8,0.0,0.0
0,1,1,3,8,0.0,0.0
0,1,1,4,8,0.0,0.0
0,1,1,5,8,0.0,0.0
0,1,1,6,8,0.0,0.0
0,1,1,7,8,0.0,0.0
0,1,1,8,8,0.0,0.0
0,1,1,9,8,0.0,0.0
0,1,1,10,8,0.0,0.0
0,1,1,11,8,0.0,0.0
0,1,2,1,8,0.0,0.0
0,1,2,2,8,0.0,0.0
0,1,2,3,8,0.0,0.0
0,1,2,4,8,0.0,0.0
0,1,2,5,8,0.0,0.0
0,1,2,6,8,0.0,0.0
0,1,2,7,8,0.0,0.0
0,1,2,8,8,0.0,0.0
0,1,2,9,8,0.0,0.0
0,1,2,10,8,0.0,0.0
0,1,2,11,8,0.0,0.0
0,1,3,1,8,0.0,0.0
0,1,3,2,8,0.0,0.0
0,1,3,3,8,0.0,0.0
0,1,3,4,8,0.0,0.0
0,1,3,5,8,0.0,0.0
0,1,3,6,8,0.0,0.0
0,1,3,7,8,0.0,0.0
0,1,3,8,8,0.0,0.0
0,1,3,9,8,0.0,0.0
0,1,3,10,8,0.0,0.0
0,1,3,11,8,0.0,0.0
0,1,4,1,8,0.0,0.0
0,1,4,2,8,0.0,0.0
0,1,4,3,8,0.0,0.0
0,1,4,4,8,0.0,0.0
0,1,4,5,8,0.0,0.0
0,1,4,6,8,0.0,0.0
0,1,4,7,8,0.0,0.0
0,1,4,8,8,0.0,0.0
0,1,4,9,8,0.0,0.0
0,1,4,10,8,0.0,0.0
0,1,4,11,8,0.0,0.0
0,1,5,1,8,0.0,0.0
0,1,5,2,8,0.0,0.0
0,1,5,3,8,0.0,0.0
0,1,5,4,8,0.0,0.0
0,1,5,5,8,0.0,0.0
0,1,5,6,8,0.0,0.0
0,1,5,7,8,0.0,0.0
0,1,5,8,8,0.0,0.0
0,1,5,9,8,0.0,0.0
0,1,5,10,8,0.0,0.0
0,1,5,11,8,0.0,0.0
0,1,6,1,8,0.0,0.0
0,1,6,2,8,0.0,0.0
0,1,6,3,8,0.0,0.0
0,1,6,4,8,0.0,0.0
0,1,6,5,8,0.0,0.0
0,1,6,6,8,0.0,0.0
0,1,6,7,8,0.0,0.0
0,1,6,8,8,0.0,0.0
0,1,6,9,8,0.0,0.0
0,1,6,10,8,0.0,0.0
0,1,6,11,8,0.0,0.0
0,1,7,1,8,0.0,0.0
0,1,7,2,8,0.0,0.0
0,1,7,3,8,0.0,0.0
0,1,7,4,8,0.0,0.0
0,1,7,5,8,0.0,0.0
0,1,7,6,8,0.0,0.0
0,1,7,7,8,0.0,0.0
0,1,7,8,8,0.0,0.0
0,1,7,9,8,0.0,0.0
0,1,7,10,8,0.0,0.0
0,1,7,11,8,0.0,0.0
0,1,8,1,8,0.0,0.0
0,1,8,2,8,0.0,0.0
0,1,8,3,8,0.0,0.0
0,1,8,4,8,0.0,0.0
0,1,8,5,8,0.0,0.0
0,1,8,6,8,0.0,0.0
0,1,8,7,8,0.0,0.0
0,1,8,8,8,0.0,0.0
0,1,8,9,8,0.0,0.0
0,1,8,10,8,0.0,0.0
0,1,8,11,8,0.0,0.0
1,2,1,1,8,2126544.255635359,92323.408746996
1,2,1,2,8,1135789.6932550918,38171.0695555781
1,2,1,3,8,414196.93727321556,9984.33804692982
1,2,1,4,8,222630.85901202378,4705.273239126285
1,2,1,5,8,210040.92224903233,3655.2500819113543
1,2,1,6,8,93188.53129598082,3771.261452598792
1,2,1,7,8,0.0,0.0
1,2,1,8,8,0.0,0.0
1,2,1,9,8,0.0,0.0
1,2,1,10,8,0.0,0.0
1,2,1,11,8,0.0,0.0
1,2,2,1,8,181479.29842412748,3276.4017512468663
1,2,2,2,8,118025.86567401874,8345.922106382799
1,2,2,3,8,87271.48999752705,1489.24948178393
1,2,2,4,8,60301.37421457235,782.7678183207177
1,2,2,5,8,77813.06290175367,712.9935534847267
1,2,2,6,8,43529.1248575241,415.40847884993065
1,2,2,7,8,24331.74190368202,308.26626024968823
1,2,2,8,8,17897.266483650386,316.7569503752292
1,2,2,9,8,8042.537612502613,304.2177330785073
1,2,2,10,8,2160.2802352813565,317.79711021287073
1,2,2,11,8,0.0,0.0
1,2,3,1,8,110363.34727773165,7688.574838236865
1,2,3,2,8,35600.67194281019,791.1322269962261
1,2,3,3,8,40661.17673963776,1448.6001327321037
1,2,3,4,8,31817.980723400942,747.4613876006765
1,2,3,5,8,42883.82515623965,638.8372272848644
1,2,3,6,8,26767.520666844768,353.22229541002594
1,2,3,7,8,15971.321463707638,204.3333595960538
1,2,3,8,8,13062.674670310853,161.5749259076977
1,2,3,9,8,6223.461580916868,104.70714980169063
1,2,3,10,8,3864.7995136178106,86.78025476373442
1,2,3,11,8,2390.864685085065,83.79205794321332
1,2,4,1,8,20824.588227473763,1280.064177015088
1,2,4,2,8,15297.016489546024,663.655764464903
1,2,4,3,8,15729.214189047136,898.3914670438514
1,2,4,4,8,12319.980402215411,295.0370079051655
1,2,4,5,8,19332.09100549112,258.04760118624586
1,2,4,6,8,14773.485039258785,392.26575156257445
1,2,4,7,8,10976.169843322463,274.7192057321272
1,2,4,8,8,9989.289528716148,166.0851758293071
1,2,4,9,8,5192.55243774977,95.95668786279789
1,2,4,10,8,3281.37803653833,68.7140093381704
1,2,4,11,8,2229.6261480505086,53.0727909157628
1,2,5,1,8,9220.787972010754,551.7883487594514
1,2,5,2,8,7438.392438912206,664.9625698357006
1,2,5,3,8,6496.898300242844,224.56911203923508
1,2,5,4,8,6785.320673660632,314.3924164490759
1,2,5,5,8,10963.49967960191,221.45763816742925
