xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
0,1,1,1,8,0.0,0.0
0,1,1,2,8,0.0,0.0
0,1,1,3,8,0.0,0.0
0,1,1,4,8,0.0,0.0
0,1,1,5,8,0.0,0.0
0,1,1,6,8,0.0,0.0
0,1,1,7,8,0.0,0.0
0,1,1,8,8,0.0,0.0
0,1,1,9,8,0.0,0.0
0,1,1,10,8,0.0,0.0
0,1,1,11,8,0.0,0.0
0,1,2,1,8,0.0,0.0
0,1,2,2,8,0.0,0.0
0,1,2,3,8,0.0,0.0
0,1,2,4,8,0.0,0.0
0,1,2,5,8,0.0,0.0
0,1,2,6,8,0.0,0.0
0,1,2,7,8,0.0,0.0
0,1,2,8,8,0.0,0.0
0,1,2,9,8,0.0,0.0
0,1,2,10,8,0.0,0.0
0,1,2,11,8,0.0,0.0
0,1,3,1,8,0.0,0.0
0,1,3,2,8,0.0,0.0
0,1,3,3,8,0.0,0.0
0,1,3,4,8,0.0,0.0
0,1,3,5,8,0.0,0.0
0,1,3,6,8,0.0,0.0
0,1,3,7,8,0.0,0.0
0,1,3,8,8,0.0,0.0
0,1,3,9,8,0.0,0.0
0,1,3,10,8,0.0,0.0
0,1,3,11,8,0.0,0.0
0,1,4,1,8,0.0,0.0
0,1,4,2,8,0.0,0.0
0,1,4,3,8,0.0,0.0
0,1,4,4,8,0.0,0.0
0,1,4,5,8,0.0,0.0
0,1,4,6,8,0.0,0.0
0,1,4,7,8,0.0,0.0
0,1,4,8,8,0.0,0.0
0,1,4,9,8,0.0,0.0
0,1,4,10,8,0.0,0.0
0,1,4,11,8,0.0,0.0
0,1,5,1,8,0.0,0.0
0,1,5,2,8,0.0,0.0
0,1,5,3,8,0.0,0.0
0,1,5,4,8,0.0,0.0
0,1,5,5,8,0.0,0.0
0,1,5,6,8,0.0,0.0
0,1,5,7,8,0.0,0.0
0,1,5,8,8,0.0,0.0
0,1,5,9,8,0.0,0.0
0,1,5,10,8,0.0,0.0
0,1,5,11,8,0.0,0.0
0,1,6,1,8,0.0,0.0
0,1,6,2,8,0.0,0.0
0,1,6,3,8,0.0,0.0
0,1,6,4,8,0.0,0.0
0,1,6,5,8,0.0,0.0
0,1,6,6,8,0.0,0.0
0,1,6,7,8,0.0,0.0
0,1,6,8,8,0.0,0.0
0,1,6,9,8,0.0,0.0
0,1,6,10,8,0.0,0.0
0,1,6,11,8,0.0,0.0
0,1,7,1,8,0.0,0.0
0,1,7,2,8,0.0,0.0
0,1,7,3,8,0.0,0.0
0,1,7,4,8,0.0,0.0
0,1,7,5,8,0.0,0.0
0,1,7,6,8,0.0,0.0
0,1,7,7,8,0.0,0.0
0,1,7,8,8,0.0,0.0
0,1,7,9,8,0.0,0.0
0,1,7,10,8,0.0,0.0
0,1,7,11,8,0.0,0.0
0,1,8,1,8,0.0,0.0
0,1,8,2,8,0.0,0.0
0,1,8,3,8,0.0,0.0
0,1,8,4,8,0.0,0.0
0,1,8,5,8,0.0,0.0
0,1,8,6,8,0.0,0.0
0,1,8,7,8,0.0,0.0
0,1,8,8,8,0.0,0.0
0,1,8,9,8,0.0,0.0
0,1,8,10,8,0.0,0.0
0,1,8,11,8,0.0,0.0
1,2,1,1,8,16356258.634185286,388199.421111591
1,2,1,2,8,7883967.05743717,182161.91794734233
1,2,1,3,8,3351359.3997169463,56366.19006167292
1,2,1,4,8,1860580.028672156,35434.59044264164
1,2,1,5,8,1708110.3639023989,25787.110322164826
1,2,1,6,8,696371.8253911943,25545.43286633205
1,2,1,7,8,0.0,0.0
1,2,1,8,8,0.0,0.0
1,2,1,9,8,0.0,0.0
1,2,1,10,8,0.0,0.0
1,2,1,11,8,0.0,0.0
1,2,2,1,8,1553121.689543568,27376.385278060363
1,2,2,2,8,909140.4334485541,12025.356630606057
1,2,2,3,8,685226.142920946,8336.059405504326
1,2,2,4,8,498756.2045237742,5330.313928054406
1,2,2,5,8,650964.571832056,5148.615166796037
1,2,2,6,8,358072.3754339338,2947.9299250269205
1,2,2,7,8,198182.8136548196,2244.4215551681787
1,2,2,8,8,142776.0398677269,2372.9678844061846
1,2,2,9,8,63198.27933797364,2076.0360112978624
1,2,2,10,8,26111.976573989243,3761.8511591043502
1,2,2,11,8,0.0,0.0
1,2,3,1,8,520594.5664646683,11647.192724647664
1,2,3,2,8,411607.44299466,7721.78434699607
1,2,3,3,8,322441.3411091229,4981.687065102667
1,2,3,4,8,261689.0681532939,3061.3932110535534
1,2,3,5,8,368299.24744953593,3184.3747531729236
1,2,3,6,8,230233.77109642618,2132.9876827256776
1,2,3,7,8,137025.9563699233,1380.363566403731
1,2,3,8,8,109887.55571321733,1157.9020371597203
1,2,3,9,8,52022.459550844935,777.4751209506443
1,2,3,10,8,30556.328719821937,603.8332736629678
1,2,3,11,8,19186.931151545916,638.2267874669511
1,2,4,1,8,224662.72931068554,6113.022093406025
1,2,4,2,8,201522.09246826632,3807.6350868895292
1,2,4,3,8,164722.07827270718,3256.9847249296245
1,2,4,4,8,134098.7766412041,2367.331860021605
1,2,4,5,8,211430.20614278573,2234.1863164439455
1,2,4,6,8,141488.11399055456,1660.9477895898544
1,2,4,7,8,94262.60389261646,1207.7623268355503
1,2,4,8,8,86776.25477263154,997.321351782765
1,2,4,9,8,44838.11115382972,665.6868597596655
1,2,4,10,8,28345.986609854033,520.9921203708351
1,2,4,11,8,18589.482609202234,381.81168695713615
1,2,5,1,8,124855.41065791088,3638.54030839731
1,2,5,2,8,105520.78617012764,2710.53369518083
1,2,5,3,8,86602.86084802881,2062.7710358491345
1,2,5,4,8,77655.94516978358,1757.2312818713701
