xq2_bin,z_bin,pt2_bin,m1_content,m1_error,m2_content,m2_error,m3_content,m3_error,ref_x,ref_y,ref_eyl,ref_eyh,pt2_center,z_center,scale_content,scale_acc,bin_width,scale_factor,m2_minus_m1,ref_minus_m1,ref_minus_m2
0,2,2,,,,,,,,,,,0.07500000000000001,0.25,0.0,,0.005,,,,
0,2,3,,,,,,,,,,,0.125,0.25,0.0,,0.005,,,,
0,2,4,,,,,,,,,,,0.175,0.25,0.0,,0.005,,,,
0,2,5,,,,,,,,,,,0.25,0.25,0.0,,0.01,,,,
0,2,6,,,,,,,,,,,0.35,0.25,0.0,,0.01,,,,
0,2,7,,,,,,,,,,,0.45,0.25,0.0,,0.01,,,,
0,2,8,,,,,,,,,,,0.575,0.25,0.0,,0.015,,,,
0,2,9,,,,,,,,,,,0.7250000000000001,0.25,0.0,,0.015,,,,
0,2,10,,,,,,,,,,,0.9,0.25,0.0,,0.02,,,,
0,3,2,,,,,,,,,,,0.07500000000000001,0.35,0.0,,0.005,,,,
0,3,3,,,,,,,,,,,0.125,0.35,0.0,,0.005,,,,
0,3,4,,,,,,,,,,,0.175,0.35,0.0,,0.005,,,,
0,3,5,,,,,,,,,,,0.25,0.35,0.0,,0.01,,,,
0,3,6,,,,,,,,,,,0.35,0.35,0.0,,0.01,,,,
0,3,7,,,,,,,,,,,0.45,0.35,0.0,,0.01,,,,
0,3,8,,,,,,,,,,,0.575,0.35,0.0,,0.015,,,,
0,3,9,,,,,,,,,,,0.7250000000000001,0.35,0.0,,0.015,,,,
0,3,10,,,,,,,,,,,0.9,0.35,0.0,,0.02,,,,
0,4,2,,,,,,,,,,,0.07500000000000001,0.45,0.0,,0.005,,,,
0,4,3,,,,,,,,,,,0.125,0.45,0.0,,0.005,,,,
0,4,4,,,,,,,,,,,0.175,0.45,0.0,,0.005,,,,
0,4,5,,,,,,,,,,,0.25,0.45,0.0,,0.01,,,,
0,4,6,,,,,,,,,,,0.35,0.45,0.0,,0.01,,,,
0,4,7,,,,,,,,,,,0.45,0.45,0.0,,0.01,,,,
0,4,8,,,,,,,,,,,0.575,0.45,0.0,,0.015,,,,
0,4,9,,,,,,,,,,,0.7250000000000001,0.45,0.0,,0.015,,,,
0,4,10,,,,,,,,,,,0.9,0.45,0.0,,0.02,,,,
0,5,2,,,,,,,,,,,0.07500000000000001,0.55,0.0,,0.005,,,,
0,5,3,,,,,,,,,,,0.125,0.55,0.0,,0.005,,,,
0,5,4,,,,,,,,,,,0.175,0.55,0.0,,0.005,,,,
0,5,5,,,,,,,,,,,0.25,0.55,0.0,,0.01,,,,
0,5,6,,,,,,,,,,,0.35,0.55,0.0,,0.01,,,,
0,5,7,,,,,,,,,,,0.45,0.55,0.0,,0.01,,,,
0,5,8,,,,,,,,,,,0.575,0.55,0.0,,0.015,,,,
0,5,9,,,,,,,,,,,0.7250000000000001,0.55,0.0,,0.015,,,,
0,5,10,,,,,,,,,,,0.9,0.55,0.0,,0.02,,,,
0,6,2,,,,,,,,,,,0.07500000000000001,0.6499999999999999,0.0,,0.005,,,,
0,6,3,,,,,,,,,,,0.125,0.6499999999999999,0.0,,0.005,,,,
0,6,4,,,,,,,,,,,0.175,0.6499999999999999,0.0,,0.005,,,,
0,6,5,,,,,,,,,,,0.25,0.6499999999999999,0.0,,0.01,,,,
0,6,6,,,,,,,,,,,0.35,0.6499999999999999,0.0,,0.01,,,,
0,6,7,,,,,,,,,,,0.45,0.6499999999999999,0.0,,0.01,,,,
0,6,8,,,,,,,,,,,0.575,0.6499999999999999,0.0,,0.015,,,,
0,6,9,,,,,,,,,,,0.7250000000000001,0.6499999999999999,0.0,,0.015,,,,
0,6,10,,,,,,,,,,,0.9,0.6499999999999999,0.0,,0.02,,,,
0,7,2,,,,,,,,,,,0.07500000000000001,0.75,0.0,,0.005,,,,
0,7,3,,,,,,,,,,,0.125,0.75,0.0,,0.005,,,,
0,7,4,,,,,,,,,,,0.175,0.75,0.0,,0.005,,,,
0,7,5,,,,,,,,,,,0.25,0.75,0.0,,0.01,,,,
0,7,6,,,,,,,,,,,0.35,0.75,0.0,,0.01,,,,
0,7,7,,,,,,,,,,,0.45,0.75,0.0,,0.01,,,,
0,7,8,,,,,,,,,,,0.575,0.75,0.0,,0.015,,,,
0,7,9,,,,,,,,,,,0.7250000000000001,0.75,0.0,,0.015,,,,
0,7,10,,,,,,,,,,,0.9,0.75,0.0,,0.02,,,,
1,2,2,9.85022972072281,0.6965358780437756,1.2312787150903513,0.08706698475547195,9.48440630653758,0.12545187087659937,,,,,0.07500000000000001,0.25,32470944.237810403,0.5904129849247507,0.005,1.043227862010416e-05,-8.618951005632459,,
