xq2_bin,z_bin,pt2_bin,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0
1,1,1,2126541.25,8,17012330.0,0,0
1,1,2,1135790.125,8,9086321.0,0,1
1,1,3,414197.0,8,3313576.0,0,2
1,1,4,222630.875,8,1781047.0,0,3
1,1,5,210041.0,8,1680328.0,0,4
1,1,6,93188.525,8,745508.2,0,5
1,2,1,241972.5,6,1451835.0,1,0
1,2,2,118025.6625,8,944205.3,1,1
1,2,3,87271.475,8,698171.8,1,2
1,2,4,60301.35,8,482410.8,1,3
1,2,5,77813.0,8,622504.0,1,4
1,2,6,43529.15,8,348233.2,1,5
1,2,7,24331.7875,8,194654.3,1,6
1,2,8,17897.275,8,143178.2,1,7
1,2,9,8042.5525,8,64340.42,1,8
1,2,10,5760.746666666666,3,17282.239999999998,1,9
1,3,1,110363.4875,8,882907.9,2,0
1,3,2,47467.46666666667,6,284804.8,2,1
1,3,3,40661.1875,8,325289.5,2,2
1,3,4,31817.9375,8,254543.5,2,3
1,3,5,42883.8,8,343070.4,2,4
1,3,6,26767.5375,8,214140.3,2,5
1,3,7,15971.3125,8,127770.5,2,6
1,3,8,13062.6875,8,104501.5,2,7
1,3,9,6223.4574999999995,8,49787.659999999996,2,8
1,3,10,3864.8,8,30918.4,2,9
1,3,11,2732.414285714286,7,19126.9,2,10
1,4,1,27766.116666666665,6,166596.69999999998,3,0
1,4,2,20396.033333333333,6,122376.2,3,1
1,4,3,20972.266666666666,6,125833.6,3,2
1,4,4,16426.649999999998,6,98559.9,3,3
1,4,5,25776.100000000002,6,154656.6,3,4
1,4,6,16883.97142857143,7,118187.8,3,5
1,4,7,10976.17,8,87809.36,3,6
1,4,8,9989.28375,8,79914.27,3,7
1,4,9,5192.5575,8,41540.46,3,8
1,4,10,3281.3775,8,26251.02,3,9
1,4,11,2229.625,8,17837.0,3,10
1,5,1,14753.268,5,73766.34,4,0
1,5,2,11901.460000000001,5,59507.3,4,1
1,5,3,10395.036,5,51975.18,4,2
1,5,4,9047.095,6,54282.57,4,3
1,5,5,14618.033333333333,6,87708.2,4,4
1,5,6,10255.23,6,61531.38,4,5
1,5,7,7728.055,6,46368.33,4,6
1,5,8,7616.495,6,45698.97,4,7
1,5,9,4017.51875,8,32140.15,4,8
1,5,10,2737.12875,8,21897.03,4,9
1,5,11,2059.61,8,16476.88,4,10
1,6,1,8574.81,4,34299.24,5,0
1,6,2,7071.753333333333,3,21215.26,5,1
1,6,3,8507.324,5,42536.62,5,2
1,6,4,5488.04,5,27440.2,5,3
1,6,5,8684.021666666667,6,52104.130000000005,5,4
1,6,6,6858.631666666667,6,41151.79,5,5
1,6,7,4890.1483333333335,6,29340.89,5,6
1,6,8,4971.638333333333,6,29829.83,5,7
1,6,9,3124.021666666667,6,18744.13,5,8
1,6,10,2257.65,6,13545.9,5,9
1,6,11,1576.71125,8,12613.69,5,10
1,7,1,4643.825,4,18575.3,6,0
1,7,2,4152.733333333334,3,12458.2,6,1
1,7,3,4068.3766666666666,3,12205.13,6,2
1,7,4,3289.4125,4,13157.65,6,3
1,7,5,5372.161999999999,5,26860.809999999998,6,4
1,7,6,3676.023333333333,6,22056.14,6,5
1,7,7,3029.865,6,18179.19,6,6
1,7,8,2966.9500000000003,6,17801.7,6,7
1,7,9,1825.86,6,10955.16,6,8
1,7,10,1165.6666666666667,6,6994.0,6,9
1,7,11,523.5590000000001,6,3141.3540000000003,6,10
1,8,1,1758.94,4,7035.76,7,0
1,8,2,1582.9966666666667,3,4748.99,7,1
1,8,3,1462.6266666666668,3,4387.88,7,2
1,8,4,1258.4133333333332,3,3775.24,7,3
1,8,5,1806.6260000000002,5,9033.130000000001,7,4
1,8,6,1041.4456,5,5207.228,7,5
1,8,7,649.8168,5,3249.084,7,6
1,8,8,453.45925,4,1813.837,7,7
2,1,1,1971100.0,7,13797700.0,0,0
2,1,2,688071.875,8,5504575.0,0,1
2,1,3,363614.75,8,2908918.0,0,2
2,1,4,201900.25,8,1615202.0,0,3
2,1,5,189179.75,8,1513438.0,0,4
2,1,6,59635.5,1,59635.5,0,5
2,2,1,166034.16666666666,6,996205.0,1,0
2,2,2,117971.0,8,943768.0,1,1
2,2,3,79114.7125,8,632917.7,1,2
2,2,4,61236.325,8,489890.6,1,3
2,2,5,74254.875,8,594039.0,1,4
2,2,6,40941.3875,8,327531.1,1,5
2,2,7,23457.9125,8,187663.3,1,6
2,2,8,18265.125,8,146121.0,1,7
2,2,9,10890.0,1,10890.0,1,8
2,3,1,58334.4125,8,466675.3,2,0
2,3,2,46378.1,6,278268.6,2,1
2,3,3,38898.825,8,311190.6,2,2
2,3,4,29910.774999999998,8,239286.19999999998,2,3
2,3,5,40646.5375,8,325172.3,2,4
2,3,6,25129.4125,8,201035.3,2,5
2,3,7,14641.5375,8,117132.3,2,6
2,3,8,11847.325,8,94778.6,2,7
2,3,9,5780.72375,8,46245.79,2,8
2,3,10,3753.135,8,30025.08,2,9
2,3,11,3742.9019999999996,7,26200.314,2,10
2,4,1,25640.5125,8,205124.1,3,0
2,4,2,23001.342857142856,7,161009.4,3,1
2,4,3,17848.833333333332,6,107093.0,3,2
2,4,4,15819.266666666668,6,94915.6,3,3
2,4,5,23441.325,8,187530.6,3,4
2,4,6,16081.6875,8,128653.5,3,5
2,4,7,10230.088749999999,8,81840.70999999999,3,6
2,4,8,8847.90875,8,70783.27,3,7
2,4,9,4640.78125,8,37126.25,3,8
2,4,10,2802.91625,8,22423.33,3,9
2,4,11,1855.52625,8,14844.21,3,10
2,5,1,13524.3125,8,108194.5,4,0
2,5,2,13771.575,4,55086.3,4,1
2,5,3,10353.636,5,51768.18,4,2
2,5,4,8976.761666666667,6,53860.57,4,3
2,5,5,13753.65,6,82521.9,4,4
2,5,6,10239.606666666667,6,61437.64,4,5
2,5,7,7303.68,6,43822.08,4,6
2,5,8,6713.240000000001,6,40279.44,4,7
2,5,9,3617.6785714285716,7,25323.75,4,8
2,5,10,2425.1262500000003,8,19401.010000000002,4,9
2,5,11,1347.1485,8,10777.188,4,10
2,6,1,8373.24375,8,66985.95,5,0
2,6,2,7185.936,5,35929.68,5,1
2,6,3,7292.762,5,36463.81,5,2
2,6,4,5335.716,5,26678.58,5,3
2,6,5,8971.071666666665,6,53826.42999999999,5,4
2,6,6,6129.211666666667,6,36775.270000000004,5,5
2,6,7,4879.428333333333,6,29276.57,5,6
2,6,8,4765.541666666667,6,28593.25,5,7
2,6,9,2615.186666666667,6,15691.12,5,8
2,6,10,1762.9871428571428,7,12340.91,5,9
2,6,11,883.4638749999999,8,7067.710999999999,5,10
2,7,1,4751.16375,8,38009.31,6,0
2,7,2,4830.38,5,24151.9,6,1
2,7,3,4847.245,4,19388.98,6,2
2,7,4,3258.55,4,13034.2,6,3
2,7,5,5234.2699999999995,5,26171.35,6,4
2,7,6,3675.6279999999997,5,18378.14,6,5
2,7,7,2684.9416666666666,6,16109.65,6,6
2,7,8,2232.366666666667,6,13394.2,6,7
2,7,9,1014.4441666666667,6,6086.665,6,8
2,7,10,466.8392,5,2334.196,6,9
2,7,11,156.127,2,312.254,6,10
2,8,1,1749.31,8,13994.48,7,0
2,8,2,1141.8266666666666,3,3425.48,7,1
2,8,3,992.2353333333334,3,2976.706,7,2
2,8,4,825.8283333333334,3,2477.485,7,3
2,8,5,1168.151,5,5840.755,7,4
2,8,6,750.145,3,2250.435,7,5
2,8,7,267.594,1,267.594,7,6
3,1,1,1227598.3333333333,6,7365590.0,0,0
3,1,2,639302.25,8,5114418.0,0,1
3,1,3,335793.5714285714,7,2350555.0,0,2
3,1,4,216687.5,4,866750.0,0,3
3,1,5,171943.4,5,859717.0,0,4
3,2,1,121036.3625,8,968290.9,1,0
3,2,2,95834.2375,8,766673.9,1,1
3,2,3,68450.4,8,547603.2,1,2
3,2,4,49894.45,8,399155.6,1,3
3,2,5,65157.2,8,521257.6,1,4
3,2,6,37438.9875,8,299511.9,1,5
3,2,7,19382.333333333332,6,116294.0,1,6
3,2,8,16196.6,3,48589.8,1,7
