xq2_bin,z_bin_phiavg,pt2_bin_phiavg,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,content,error,_merge,diff(phiavg - spec),ratio(phiavg/spec),abs_rel_diff
0,,,,,,,,0.0,0.0,15452.0,3785.51,right_only,,,
0,,,,,,,,0.0,1.0,18628.8,4090.58,right_only,,,
0,,,,,,,,0.0,2.0,16547.1,2479.96,right_only,,,
0,,,,,,,,0.0,3.0,11683.8,1423.09,right_only,,,
0,,,,,,,,0.0,4.0,9911.87,1174.81,right_only,,,
0,,,,,,,,0.0,5.0,1336.69,157.009,right_only,,,
0,,,,,,,,0.0,6.0,0.0,0.0,right_only,,,
0,,,,,,,,0.0,7.0,0.0,0.0,right_only,,,
0,,,,,,,,0.0,8.0,0.0,0.0,right_only,,,
0,,,,,,,,0.0,9.0,0.0,0.0,right_only,,,
0,,,,,,,,0.0,10.0,0.0,0.0,right_only,,,
0,,,,,,,,1.0,0.0,-17987.3,2766.15,right_only,,,
0,,,,,,,,1.0,1.0,-21873.2,2248.86,right_only,,,
0,,,,,,,,1.0,2.0,25551.9,1567.96,right_only,,,
0,,,,,,,,1.0,3.0,24168.3,984.027,right_only,,,
0,,,,,,,,1.0,4.0,36392.1,1255.46,right_only,,,
0,,,,,,,,1.0,5.0,21137.7,942.474,right_only,,,
0,,,,,,,,1.0,6.0,9850.44,384.06,right_only,,,
0,,,,,,,,1.0,7.0,4893.22,307.973,right_only,,,
0,,,,,,,,1.0,8.0,943.782,43.3066,right_only,,,
0,,,,,,,,1.0,9.0,80.2154,38.882,right_only,,,
0,,,,,,,,1.0,10.0,0.0,0.0,right_only,,,
0,,,,,,,,2.0,0.0,-5302.73,1178.98,right_only,,,
0,,,,,,,,2.0,1.0,8893.8,1066.5,right_only,,,
0,,,,,,,,2.0,2.0,10999.6,805.27,right_only,,,
0,,,,,,,,2.0,3.0,12173.3,627.866,right_only,,,
0,,,,,,,,2.0,4.0,22057.3,877.118,right_only,,,
0,,,,,,,,2.0,5.0,16792.7,584.968,right_only,,,
0,,,,,,,,2.0,6.0,11507.8,344.296,right_only,,,
0,,,,,,,,2.0,7.0,10290.9,384.474,right_only,,,
0,,,,,,,,2.0,8.0,5145.16,235.961,right_only,,,
0,,,,,,,,2.0,9.0,2630.8,135.696,right_only,,,
0,,,,,,,,2.0,10.0,867.099,51.2842,right_only,,,
0,,,,,,,,3.0,0.0,2237.55,335.159,right_only,,,
0,,,,,,,,3.0,1.0,4247.6,358.448,right_only,,,
0,,,,,,,,3.0,2.0,5250.84,312.045,right_only,,,
0,,,,,,,,3.0,3.0,5458.17,290.742,right_only,,,
0,,,,,,,,3.0,4.0,11106.9,588.514,right_only,,,
0,,,,,,,,3.0,5.0,9634.46,361.507,right_only,,,
0,,,,,,,,3.0,6.0,7487.51,305.017,right_only,,,
0,,,,,,,,3.0,7.0,7982.59,251.145,right_only,,,
0,,,,,,,,3.0,8.0,4780.36,156.465,right_only,,,
0,,,,,,,,3.0,9.0,3294.98,114.368,right_only,,,
0,,,,,,,,3.0,10.0,2253.2,128.02,right_only,,,
0,,,,,,,,4.0,0.0,1552.58,161.842,right_only,,,
0,,,,,,,,4.0,1.0,2369.04,223.421,right_only,,,
0,,,,,,,,4.0,2.0,2593.71,220.725,right_only,,,
0,,,,,,,,4.0,3.0,2857.84,180.426,right_only,,,
0,,,,,,,,4.0,4.0,5954.6,368.991,right_only,,,
0,,,,,,,,4.0,5.0,5306.74,286.425,right_only,,,
0,,,,,,,,4.0,6.0,4635.35,192.479,right_only,,,
0,,,,,,,,4.0,7.0,5133.3,178.261,right_only,,,
0,,,,,,,,4.0,8.0,3383.43,163.552,right_only,,,
0,,,,,,,,4.0,9.0,2645.94,159.483,right_only,,,
0,,,,,,,,4.0,10.0,2292.73,76.1452,right_only,,,
0,,,,,,,,5.0,0.0,978.871,116.406,right_only,,,
0,,,,,,,,5.0,1.0,1356.28,123.499,right_only,,,
