ixq2,iz,point,x,y,exl,exh,eyl,eyh
1,0,0,0.124787,4.94713,0,0,0.353691,0.353691
1,0,1,0.174371,3.77773,0,0,0.199034,0.199034
1,0,2,0.246331,2.4478,0,0,0.109308,0.109308
1,0,3,0.345124,1.31641,0,0,0.0706511,0.0706511
1,0,4,0.443954,0.710141,0,0,0.0384975,0.0384975
1,0,5,0.559167,0.340099,0,0,0.0239177,0.0239177
1,0,6,0.703579,0.134588,0,0,0.00935523,0.00935523
1,0,7,0.836179,0.0520409,0,0,0.0248635,0.0248635
1,1,0,0.0756148,2.75061,0,0,0.387251,0.387251
1,1,1,0.125302,2.36505,0,0,0.217053,0.217053
1,1,2,0.174821,1.90954,0,0,0.128293,0.128293
1,1,3,0.247832,1.37186,0,0,0.0755903,0.0755903
1,1,4,0.347079,0.838479,0,0,0.0418439,0.0418439
1,1,5,0.446904,0.495257,0,0,0.0246562,0.0246562
1,1,6,0.56772,0.259587,0,0,0.0128326,0.0128326
1,1,7,0.71653,0.121848,0,0,0.00709507,0.00709507
1,1,8,0.882122,0.0518081,0,0,0.00298454,0.00298454
1,2,0,0.0756316,1.42726,0,0,0.137834,0.137834
1,2,1,0.125388,1.2285,0,0,0.0879639,0.0879639
1,2,2,0.175035,1.02089,0,0,0.0887867,0.0887867
1,2,3,0.248868,0.780395,0,0,0.0600712,0.0600712
1,2,4,0.347859,0.517067,0,0,0.0303131,0.0303131
1,2,5,0.447382,0.339069,0,0,0.0200442,0.0200442
1,2,6,0.569048,0.203539,0,0,0.00990286,0.00990286
1,2,7,0.718587,0.103221,0,0,0.00514858,0.00514858
1,2,8,0.888867,0.0480274,0,0,0.00236717,0.00236717
1,3,0,0.0281926,0.856525,0,0,0.106639,0.106639
1,3,1,0.0753546,0.770671,0,0,0.101421,0.101421
1,3,2,0.125125,0.645075,0,0,0.0687554,0.0687554
1,3,3,0.175094,0.585446,0,0,0.0533276,0.0533276
1,3,4,0.249267,0.448504,0,0,0.0373932,0.0373932
1,3,5,0.348327,0.312014,0,0,0.022063,0.022063
1,3,6,0.447455,0.226235,0,0,0.0142594,0.0142594
1,3,7,0.569279,0.14226,0,0,0.00838457,0.00838457
1,3,8,0.719324,0.0798358,0,0,0.00514999,0.00514999
1,3,9,0.88889,0.0399832,0,0,0.00292395,0.00292395
1,4,0,0.0273408,0.460529,0,0,0.0703929,0.0703929
1,4,1,0.0753001,0.405253,0,0,0.0448139,0.0448139
1,4,2,0.125082,0.381132,0,0,0.0359972,0.0359972
1,4,3,0.174699,0.328233,0,0,0.0286745,0.0286745
1,4,4,0.249216,0.270079,0,0,0.0211766,0.0211766
1,4,5,0.3489,0.19248,0,0,0.0202548,0.0202548
1,4,6,0.448237,0.141713,0,0,0.014916,0.014916
1,4,7,0.570233,0.0951844,0,0,0.00846526,0.00846526
1,4,8,0.719658,0.0584268,0,0,0.00548941,0.00548941
1,4,9,0.890306,0.0294551,0,0,0.00285495,0.00285495
1,5,0,0.0272955,0.260963,0,0,0.0473551,0.0473551
