ixq2,iz,point,x,y,exl,exh,eyl,eyh
1,0,0,0.124787,7.2193,0,0,0.516137,0.516137
1,0,1,0.174371,5.5128,0,0,0.290448,0.290448
1,0,2,0.246331,3.57205,0,0,0.159512,0.159512
1,0,3,0.345124,1.92103,0,0,0.103101,0.103101
1,0,4,0.443954,1.0363,0,0,0.0561791,0.0561791
1,0,5,0.559167,0.496303,0,0,0.0349029,0.0349029
1,0,6,0.703579,0.196403,0,0,0.013652,0.013652
1,0,7,0.836179,0.0759427,0,0,0.0362831,0.0362831
1,1,0,0.0756148,4.01394,0,0,0.565112,0.565112
1,1,1,0.125302,3.45129,0,0,0.316743,0.316743
1,1,2,0.174821,2.78657,0,0,0.187216,0.187216
1,1,3,0.247832,2.00195,0,0,0.110308,0.110308
1,1,4,0.347079,1.22358,0,0,0.0610624,0.0610624
1,1,5,0.446904,0.722724,0,0,0.0359806,0.0359806
1,1,6,0.56772,0.378812,0,0,0.0187265,0.0187265
1,1,7,0.71653,0.177811,0,0,0.0103538,0.0103538
1,1,8,0.882122,0.0756031,0,0,0.00435532,0.00435532
1,2,0,0.0756316,2.08278,0,0,0.20114,0.20114
1,2,1,0.125388,1.79273,0,0,0.128365,0.128365
1,2,2,0.175035,1.48978,0,0,0.129566,0.129566
1,2,3,0.248868,1.13882,0,0,0.0876613,0.0876613
1,2,4,0.347859,0.754552,0,0,0.0442357,0.0442357
1,2,5,0.447382,0.494801,0,0,0.0292504,0.0292504
1,2,6,0.569048,0.297022,0,0,0.0144511,0.0144511
1,2,7,0.718587,0.150629,0,0,0.00751327,0.00751327
1,2,8,0.888867,0.070086,0,0,0.00345438,0.00345438
1,3,0,0.0281926,1.24992,0,0,0.155618,0.155618
1,3,1,0.0753546,1.12463,0,0,0.148003,0.148003
1,3,2,0.125125,0.941352,0,0,0.100334,0.100334
1,3,3,0.175094,0.854336,0,0,0.0778205,0.0778205
1,3,4,0.249267,0.654497,0,0,0.0545675,0.0545675
1,3,5,0.348327,0.455319,0,0,0.0321964,0.0321964
1,3,6,0.447455,0.330143,0,0,0.0208085,0.0208085
1,3,7,0.569279,0.207598,0,0,0.0122355,0.0122355
1,3,8,0.719324,0.116504,0,0,0.00751534,0.00751534
1,3,9,0.88889,0.0583471,0,0,0.00426689,0.00426689
1,4,0,0.0273408,0.672046,0,0,0.102724,0.102724
1,4,1,0.0753001,0.591382,0,0,0.0653965,0.0653965
1,4,2,0.125082,0.556182,0,0,0.0525304,0.0525304
1,4,3,0.174699,0.478988,0,0,0.0418444,0.0418444
1,4,4,0.249216,0.394124,0,0,0.0309029,0.0309029
1,4,5,0.3489,0.280884,0,0,0.0295576,0.0295576
1,4,6,0.448237,0.2068,0,0,0.0217669,0.0217669
1,4,7,0.570233,0.138902,0,0,0.0123533,0.0123533
1,4,8,0.719658,0.0852617,0,0,0.00801065,0.00801065
1,4,9,0.890306,0.0429835,0,0,0.00416621,0.00416621
1,5,0,0.0272955,0.380821,0,0,0.0691049,0.0691049
1,5,1,0.0753321,0.346152,0,0,0.0533035,0.0533035
1,5,2,0.124618,0.321428,0,0,0.0388702,0.0388702
1,5,3,0.174638,0.243943,0,0,0.0364733,0.0364733
1,5,4,0.248802,0.222374,0,0,0.0256913,0.0256913
1,5,5,0.348778,0.159778,0,0,0.0176451,0.0176451
1,5,6,0.448064,0.115861,0,0,0.0134091,0.0134091
1,5,7,0.570998,0.0781012,0,0,0.00831912,0.00831912
1,5,8,0.719218,0.0448696,0,0,0.00530599,0.00530599
1,5,9,0.885998,0.0212195,0,0,0.00340543,0.00340543
2,0,0,0.0261855,12.5363,0,0,2.41626,2.41626
2,0,1,0.0752621,10.4368,0,0,1.38958,1.38958
2,0,2,0.124459,8.22299,0,0,0.711165,0.711165
2,0,3,0.173906,6.17692,0,0,0.455638,0.455638
2,0,4,0.244757,3.87055,0,0,0.225885,0.225885
2,0,5,0.343399,1.9931,0,0,0.126788,0.126788
2,0,6,0.442389,1.05168,0,0,0.0557303,0.0557303
2,0,7,0.553905,0.487632,0,0,0.0360229,0.0360229
2,0,8,0.693653,0.191398,0,0,0.0456369,0.0456369
2,1,0,0.0747998,4.5123,0,0,0.454773,0.454773
2,1,1,0.12494,3.86729,0,0,0.281941,0.281941
2,1,2,0.174545,3.05479,0,0,0.167185,0.167185
2,1,3,0.246966,2.16117,0,0,0.102253,0.102253
2,1,4,0.346388,1.28212,0,0,0.065428,0.065428
2,1,5,0.445954,0.724274,0,0,0.0367725,0.0367725
2,1,6,0.565806,0.374721,0,0,0.0163804,0.0163804
2,1,7,0.71416,0.168037,0,0,0.00771333,0.00771333
2,1,8,0.876173,0.0679208,0,0,0.00611594,0.00611594
2,2,0,0.0256293,2.49572,0,0,0.258749,0.258749
2,2,1,0.0746183,2.26416,0,0,0.157493,0.157493
2,2,2,0.124826,1.90405,0,0,0.126123,0.126123
2,2,3,0.174838,1.65141,0,0,0.110919,0.110919
2,2,4,0.248284,1.23842,0,0,0.062195,0.062195
2,2,5,0.347361,0.809615,0,0,0.0371695,0.0371695
2,2,6,0.446878,0.531493,0,0,0.0240629,0.0240629
2,2,7,0.56772,0.29781,0,0,0.0160346,0.0160346
2,2,8,0.717275,0.145701,0,0,0.0088133,0.0088133
2,2,9,0.885805,0.0658005,0,0,0.00408023,0.00408023
2,3,0,0.0245322,1.41016,0,0,0.1612,0.1612
2,3,1,0.0745623,1.25279,0,0,0.107626,0.107626
2,3,2,0.124604,1.06067,0,0,0.0780927,0.0780927
2,3,3,0.174769,0.897823,0,0,0.0622711,0.0622711
2,3,4,0.248787,0.693236,0,0,0.0414131,0.0414131
2,3,5,0.347993,0.503746,0,0,0.0295185,0.0295185
2,3,6,0.447502,0.346204,0,0,0.0188088,0.0188088
2,3,7,0.568299,0.216201,0,0,0.0122606,0.0122606
2,3,8,0.718427,0.117635,0,0,0.00757819,0.00757819
2,3,9,0.887372,0.0582967,0,0,0.00344993,0.00344993
2,4,0,0.0238661,0.785929,0,0,0.0685542,0.0685542
2,4,1,0.0744191,0.739825,0,0,0.0606844,0.0606844
2,4,2,0.124401,0.624342,0,0,0.044712,0.044712
2,4,3,0.174682,0.51747,0,0,0.0422564,0.0422564
2,4,4,0.248553,0.427612,0,0,0.0298739,0.0298739
2,4,5,0.348607,0.302843,0,0,0.0227527,0.0227527
2,4,6,0.447824,0.224843,0,0,0.0188989,0.0188989
2,4,7,0.568541,0.149271,0,0,0.0105213,0.0105213
2,4,8,0.71767,0.0814619,0,0,0.00582614,0.00582614
2,4,9,0.886585,0.0396389,0,0,0.00262122,0.00262122
2,5,0,0.0233795,0.468898,0,0,0.0586582,0.0586582
2,5,1,0.073947,0.415115,0,0,0.0438804,0.0438804
2,5,2,0.12423,0.386146,0,0,0.0373261,0.0373261
2,5,3,0.174201,0.306147,0,0,0.026797,0.026797
2,5,4,0.247903,0.244279,0,0,0.0204359,0.0204359
2,5,5,0.347679,0.166937,0,0,0.0156919,0.0156919
2,5,6,0.447043,0.119621,0,0,0.0108973,0.0108973
2,5,7,0.566461,0.066196,0,0,0.0067001,0.0067001
2,5,8,0.714607,0.0281369,0,0,0.00309497,0.00309497
2,5,9,0.875439,0.00798953,0,0,0.00123727,0.00123727
3,0,0,0.0255666,14.8556,0,0,3.35404,3.35404
3,0,1,0.0745612,11.9283,0,0,1.89955,1.89955
3,0,2,0.124047,9.14333,0,0,1.0738,1.0738
3,0,3,0.173406,6.61604,0,0,0.636462,0.636462
3,0,4,0.24271,4.13998,0,0,0.370951,0.370951
3,0,5,0.341512,2.10605,0,0,0.136351,0.136351
3,0,6,0.439488,1.06117,0,0,0.131695,0.131695
3,0,7,0.540633,0.568211,0,0,0.0771913,0.0771913
3,1,0,0.0256674,5.94995,0,0,0.514416,0.514416
3,1,1,0.0741098,5.02251,0,0,0.363577,0.363577
3,1,2,0.124793,4.17946,0,0,0.206745,0.206745
3,1,3,0.174458,3.45323,0,0,0.170528,0.170528
3,1,4,0.245782,2.31951,0,0,0.12341,0.12341
3,1,5,0.345106,1.36085,0,0,0.0573548,0.0573548
3,1,6,0.444951,0.732941,0,0,0.0410132,0.0410132
3,1,7,0.561937,0.35102,0,0,0.0173961,0.0173961
3,1,8,0.709936,0.157976,0,0,0.0130324,0.0130324
3,1,9,0.866687,0.0462198,0,0,0.011306,0.011306
3,2,0,0.0239833,2.92382,0,0,0.205194,0.205194
3,2,1,0.0740736,2.58457,0,0,0.158475,0.158475
3,2,2,0.12456,2.09309,0,0,0.136513,0.136513
3,2,3,0.174691,1.80979,0,0,0.099331,0.099331
3,2,4,0.247853,1.32886,0,0,0.0602388,0.0602388
3,2,5,0.346314,0.852696,0,0,0.0306469,0.0306469
3,2,6,0.445912,0.538879,0,0,0.0225836,0.0225836
3,2,7,0.565955,0.30223,0,0,0.0145249,0.0145249
3,2,8,0.715488,0.130155,0,0,0.00695457,0.00695457
3,2,9,0.882653,0.0468629,0,0,0.00275675,0.00275675
3,3,0,0.0225843,1.53676,0,0,0.132196,0.132196
3,3,1,0.0737852,1.36944,0,0,0.0734984,0.0734984
3,3,2,0.124353,1.1597,0,0,0.0692439,0.0692439
3,3,3,0.17462,1.03082,0,0,0.063783,0.063783
3,3,4,0.248524,0.759378,0,0,0.0395182,0.0395182
3,3,5,0.347557,0.540093,0,0,0.0253391,0.0253391
3,3,6,0.446348,0.369199,0,0,0.0162465,0.0162465
3,3,7,0.56687,0.230992,0,0,0.0121987,0.0121987
3,3,8,0.716035,0.111454,0,0,0.00632695,0.00632695
3,3,9,0.881044,0.0427474,0,0,0.00225943,0.00225943
3,4,0,0.0223088,0.942463,0,0,0.0658584,0.0658584
3,4,1,0.0735806,0.815605,0,0,0.0539968,0.0539968
3,4,2,0.124093,0.73854,0,0,0.0403803,0.0403803
3,4,3,0.174504,0.596146,0,0,0.0482995,0.0482995
3,4,4,0.24816,0.49386,0,0,0.0298808,0.0298808
3,4,5,0.347772,0.336139,0,0,0.0183866,0.0183866
3,4,6,0.447436,0.218245,0,0,0.0122272,0.0122272
3,4,7,0.566656,0.140581,0,0,0.00908436,0.00908436
3,4,8,0.71406,0.0569184,0,0,0.00355132,0.00355132
3,4,9,0.874271,0.0177408,0,0,0.00139151,0.00139151
3,5,0,0.022432,0.550985,0,0,0.0504656,0.0504656
3,5,1,0.073376,0.44833,0,0,0.037449,0.037449
3,5,2,0.123552,0.388553,0,0,0.0322933,0.0322933
3,5,3,0.173678,0.302502,0,0,0.0242441,0.0242441
3,5,4,0.246448,0.216871,0,0,0.0120597,0.0120597
3,5,5,0.346239,0.135202,0,0,0.0114578,0.0114578
3,5,6,0.444859,0.0717069,0,0,0.00596326,0.00596326
3,5,7,0.559932,0.0257741,0,0,0.00285416,0.00285416
3,5,8,0.703276,0.00511507,0,0,0.000939347,0.000939347
4,0,0,0.0250616,16.2277,0,0,3.97181,3.97181
4,0,1,0.0735471,13.4719,0,0,2.40431,2.40431
4,0,2,0.123937,10.2805,0,0,1.40129,1.40129
4,0,3,0.173048,7.12732,0,0,0.864466,0.864466
4,0,4,0.240975,4.25237,0,0,0.452829,0.452829
4,0,5,0.338983,2.33345,0,0,0.204728,0.204728
4,0,6,0.433286,0.983028,0,0,0.157176,0.157176
4,1,0,0.024876,6.93121,0,0,0.665813,0.665813
4,1,1,0.0733583,5.79724,0,0,0.37834,0.37834
4,1,2,0.124339,4.71347,0,0,0.287999,0.287999
4,1,3,0.174096,3.68683,0,0,0.200698,0.200698
4,1,4,0.244341,2.44989,0,0,0.104902,0.104902
4,1,5,0.343855,1.37033,0,0,0.0701749,0.0701749
4,1,6,0.443413,0.726076,0,0,0.0528874,0.0528874
4,1,7,0.557904,0.323222,0,0,0.0208995,0.0208995
4,1,8,0.702922,0.114599,0,0,0.0191583,0.0191583
4,2,0,0.0227484,3.34229,0,0,0.212632,0.212632
4,2,1,0.0737887,2.83667,0,0,0.178071,0.178071
4,2,2,0.124209,2.36866,0,0,0.119255,0.119255
4,2,3,0.174397,1.95834,0,0,0.0996468,0.0996468
4,2,4,0.2468,1.48881,0,0,0.0620765,0.0620765
4,2,5,0.345182,0.906807,0,0,0.0460415,0.0460415
4,2,6,0.44488,0.519056,0,0,0.0264753,0.0264753
4,2,7,0.563152,0.252263,0,0,0.0125466,0.0125466
4,2,8,0.711913,0.0978418,0,0,0.00644298,0.00644298
4,2,9,0.870414,0.0194332,0,0,0.00287613,0.00287613
4,3,0,0.0217765,1.82598,0,0,0.102402,0.102402
4,3,1,0.0735496,1.52506,0,0,0.0971934,0.0971934
4,3,2,0.124071,1.33031,0,0,0.078155,0.078155
4,3,3,0.17435,1.15179,0,0,0.0628082,0.0628082
4,3,4,0.247998,0.885517,0,0,0.0373774,0.0373774
4,3,5,0.346476,0.587438,0,0,0.0263128,0.0263128
4,3,6,0.445402,0.381021,0,0,0.0175574,0.0175574
4,3,7,0.562779,0.191724,0,0,0.00832122,0.00832122
4,3,8,0.710625,0.0639704,0,0,0.00330438,0.00330438
4,3,9,0.86879,0.0132777,0,0,0.00144502,0.00144502
4,4,0,0.0218818,1.1198,0,0,0.0613386,0.0613386
4,4,1,0.0732322,0.932985,0,0,0.04769,0.04769
4,4,2,0.123732,0.80462,0,0,0.0400059,0.0400059
4,4,3,0.174332,0.63472,0,0,0.0368168,0.0368168
4,4,4,0.247351,0.503517,0,0,0.0266445,0.0266445
4,4,5,0.346714,0.318579,0,0,0.018132,0.018132
4,4,6,0.445078,0.171245,0,0,0.0104373,0.0104373
4,4,7,0.559694,0.0675499,0,0,0.00406043,0.00406043
4,4,8,0.70564,0.0155131,0,0,0.00184169,0.00184169
4,4,9,0.850584,0.00140694,0,0,0.00031124,0.00031124
4,5,0,0.0219851,0.496611,0,0,0.0332278,0.0332278
4,5,1,0.0725526,0.388263,0,0,0.0297009,0.0297009
4,5,2,0.123092,0.278437,0,0,0.0236765,0.0236765
4,5,3,0.17309,0.181969,0,0,0.0165679,0.0165679
4,5,4,0.243622,0.111263,0,0,0.00870789,0.00870789
4,5,5,0.343064,0.0417282,0,0,0.00450293,0.00450293
4,5,6,0.438781,0.0105416,0,0,0.00272632,0.00272632
5,0,0,0.0240814,19.1237,0,0,4.81981,4.81981
5,0,1,0.0722569,14.1636,0,0,2.84932,2.84932
5,0,2,0.124133,11.0121,0,0,1.75571,1.75571
5,0,3,0.172796,7.99871,0,0,0.985596,0.985596
5,0,4,0.239743,4.44084,0,0,0.52254,0.52254
5,0,5,0.331244,2.19888,0,0,0.511625,0.511625
5,1,0,0.0238732,7.84869,0,0,1.14232,1.14232
5,1,1,0.0720586,6.11145,0,0,0.506762,0.506762
5,1,2,0.124027,5.27357,0,0,0.513307,0.513307
5,1,3,0.174189,4.20114,0,0,0.320869,0.320869
5,1,4,0.243073,2.71595,0,0,0.180165,0.180165
5,1,5,0.342125,1.36866,0,0,0.0993747,0.0993747
5,1,6,0.441096,0.600505,0,0,0.05844,0.05844
5,1,7,0.551103,0.183574,0,0,0.0197556,0.0197556
5,2,0,0.0218471,4.11692,0,0,0.199783,0.199783
5,2,1,0.0731908,3.29993,0,0,0.188331,0.188331
5,2,2,0.123144,2.72168,0,0,0.157954,0.157954
5,2,3,0.174034,2.24091,0,0,0.112476,0.112476
5,2,4,0.245833,1.5286,0,0,0.0608802,0.0608802
5,2,5,0.343589,0.854904,0,0,0.0456291,0.0456291
5,2,6,0.442707,0.404839,0,0,0.0233598,0.0233598
5,2,7,0.556032,0.125273,0,0,0.00810718,0.00810718
5,2,8,0.701197,0.0161267,0,0,0.00570168,0.00570168
5,3,0,0.0214318,2.33422,0,0,0.108558,0.108558
5,3,1,0.073191,1.92213,0,0,0.0979883,0.0979883
5,3,2,0.123519,1.52924,0,0,0.0833388,0.0833388
5,3,3,0.173712,1.18593,0,0,0.0627306,0.0627306
5,3,4,0.245664,0.82425,0,0,0.0410553,0.0410553
5,3,5,0.344228,0.44432,0,0,0.0212527,0.0212527
5,3,6,0.441823,0.183265,0,0,0.0106984,0.0106984
5,3,7,0.55222,0.0507955,0,0,0.00575257,0.00575257
5,3,8,0.692882,0.00529815,0,0,0.00144547,0.00144547
5,4,0,0.0218219,1.20488,0,0,0.0747502,0.0747502
5,4,1,0.0725034,0.918783,0,0,0.0424373,0.0424373
5,4,2,0.123086,0.686399,0,0,0.0483727,0.0483727
5,4,3,0.173216,0.497082,0,0,0.0268867,0.0268867
5,4,4,0.243668,0.271744,0,0,0.0136037,0.0136037
5,4,5,0.341505,0.102143,0,0,0.00592283,0.00592283
5,4,6,0.43726,0.027484,0,0,0.00448125,0.00448125
5,4,7,0.539959,0.0035141,0,0,0.00154255,0.00154255
5,5,0,0.0211252,0.18393,0,0,0.0158086,0.0158086
5,5,1,0.070983,0.104805,0,0,0.0104827,0.0104827
5,5,2,0.120931,0.0585052,0,0,0.00943995,0.00943995
5,5,3,0.172219,0.0253172,0,0,0.00574901,0.00574901
5,5,4,0.234906,0.00506645,0,0,0.00196032,0.00196032
6,0,0,0.022416,19.1898,0,0,6.49408,6.49408
6,0,1,0.0718862,15.3136,0,0,5.05835,5.05835
6,0,2,0.123896,11.3277,0,0,4.01849,4.01849
6,0,3,0.172599,5.06025,0,0,1.90057,1.90057
6,0,4,0.234848,2.8161,0,0,1.12047,1.12047
6,1,0,0.0219197,8.68424,0,0,1.69303,1.69303
6,1,1,0.0712174,6.65836,0,0,0.643477,0.643477
6,1,2,0.1237,5.71157,0,0,0.674567,0.674567
6,1,3,0.174125,4.47683,0,0,0.443193,0.443193
6,1,4,0.241301,2.4622,0,0,0.219208,0.219208
6,1,5,0.335687,0.788293,0,0,0.11416,0.11416
6,1,6,0.430944,0.170875,0,0,0.0800921,0.0800921
6,2,0,0.0205924,4.7962,0,0,0.427861,0.427861
6,2,1,0.0725044,3.31528,0,0,0.294889,0.294889
6,2,2,0.122406,2.77422,0,0,0.269217,0.269217
6,2,3,0.173633,2.21721,0,0,0.190564,0.190564
6,2,4,0.243916,1.27826,0,0,0.0967999,0.0967999
6,2,5,0.33759,0.391274,0,0,0.0438034,0.0438034
6,2,6,0.430772,0.0494433,0,0,0.0125982,0.0125982
6,3,0,0.0210089,2.60919,0,0,0.127105,0.127105
6,3,1,0.0719696,1.85177,0,0,0.133382,0.133382
6,3,2,0.122308,1.1578,0,0,0.0921462,0.0921462
6,3,3,0.172469,0.73282,0,0,0.0782499,0.0782499
6,3,4,0.240202,0.313981,0,0,0.0284425,0.0284425
6,3,5,0.33568,0.0470593,0,0,0.00647847,0.00647847
6,4,0,0.0206538,0.623783,0,0,0.0394849,0.0394849
6,4,1,0.0707391,0.313658,0,0,0.0360943,0.0360943
6,4,2,0.121413,0.129207,0,0,0.0222148,0.0222148
6,4,3,0.170698,0.0471324,0,0,0.0117058,0.0117058
6,4,4,0.225535,0.0109388,0,0,0.00616674,0.00616674
