bin,x_center,content,error,acceptance
1,0.0,0.0,0.0,nan
2,1.0,32470944.237810403,8190.871397953853,0.5904129849247507
3,2.0,26900867.695022766,8001.230195995093,0.5979512577774716
4,3.0,20983014.612178102,7273.675235775484,0.5738341458537011
5,4.0,21695283.01592865,7442.732882379,0.5515843854596052
6,5.0,23235702.1499211,7746.867490115473,0.529418895771262
7,6.0,13087552.619502762,6089.117719172106,0.5261460155360248
8,7.0,5777919.121807666,4049.441331079593,0.5969895779306142
9,8.0,25103533.890635844,6728.689643115249,0.6965432298070978
10,9.0,22215782.56804337,6722.507356396191,0.7193186812558529
11,10.0,24506937.18200342,7010.977389908109,0.7155446472274737
12,11.0,14613102.328177188,5632.869511015252,0.716506978260699
13,12.0,18362570.536492493,5863.81201495998,0.7513620239161296
14,13.0,19445555.736416705,5600.130457366369,0.7702032427346662
15,14.0,12017118.329301102,4823.0668698401205,0.8098811697545412
16,15.0,22482720.657891847,5992.24630324842,0.8460626052736252
17,16.0,18148511.51191461,4922.778637864567,0.8882358581250351
