# ix,iz,iPt,ratio_corr
2,1,1,0.00111965
2,1,2,0.00290574
2,1,3,0.00549931
2,1,4,0.00687413
2,1,5,0.00627905
2,1,6,0.00210118
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,1,0.013813
2,2,2,0.0326283
2,2,3,0.0467869
2,2,4,0.0561918
2,2,5,0.0648701
2,2,6,0.0680033
2,2,7,0.0583552
2,2,8,0.039621
2,2,9,0.0181507
2,2,10,0.002117
2,2,11,0
2,3,1,0.0150617
2,3,2,0.0293175
2,3,3,0.0430025
2,3,4,0.0555627
2,3,5,0.0703709
2,3,6,0.0866495
2,3,7,0.0999528
2,3,8,0.110038
2,3,9,0.115031
2,3,10,0.101118
2,3,11,0.0524823
2,4,1,0.0135755
2,4,2,0.0262719
2,4,3,0.0378501
2,4,4,0.0472391
2,4,5,0.0635314
2,4,6,0.0801157
2,4,7,0.0935111
2,4,8,0.109061
2,4,9,0.125381
2,4,10,0.134868
2,4,11,0.142602
2,5,1,0.015557
2,5,2,0.0270975
2,5,3,0.0356027
2,5,4,0.0435059
2,5,5,0.0565531
2,5,6,0.0728477
2,5,7,0.0850547
2,5,8,0.100037
2,5,9,0.113251
2,5,10,0.126739
2,5,11,0.149574
2,6,1,0.0183414
2,6,2,0.0287638
2,6,3,0.0352486
2,6,4,0.0413007
2,6,5,0.0516549
2,6,6,0.0641543
2,6,7,0.0769992
2,6,8,0.0904793
2,6,9,0.103278
2,6,10,0.117114
2,6,11,0.13823
2,7,1,0.0210659
2,7,2,0.0317003
2,7,3,0.0362428
2,7,4,0.0410107
2,7,5,0.0491693
2,7,6,0.0613731
2,7,7,0.0753004
2,7,8,0.0875587
2,7,9,0.0973107
2,7,10,0.105696
2,7,11,0.11383
2,8,1,0.0214976
2,8,2,0.0316852
2,8,3,0.038158
2,8,4,0.0391773
2,8,5,0.0457866
2,8,6,0.0549553
2,8,7,0.0550962
2,8,8,0.0590388
2,8,9,0.0158256
2,8,10,0
2,8,11,0
3,1,1,0.000713518
3,1,2,0.00178818
3,1,3,0.00276656
3,1,4,0.00306477
3,1,5,0.00225642
3,1,6,0.000209763
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,1,11,0
3,2,1,0.0206582
3,2,2,0.0318525
3,2,3,0.0427263
3,2,4,0.0470535
3,2,5,0.0474529
3,2,6,0.0407628
3,2,7,0.0283021
3,2,8,0.0145805
3,2,9,0.00278179
3,2,10,0
3,2,11,0
3,3,1,0.0305631
3,3,2,0.0393601
3,3,3,0.0512169
3,3,4,0.062645
3,3,5,0.0749025
3,3,6,0.082636
3,3,7,0.0851542
3,3,8,0.0853304
3,3,9,0.0714304
3,3,10,0.0477035
3,3,11,0.0167372
3,4,1,0.0334707
3,4,2,0.041627
3,4,3,0.0499962
3,4,4,0.0586768
3,4,5,0.0743983
3,4,6,0.087284
3,4,7,0.0966799
3,4,8,0.104664
3,4,9,0.10944
3,4,10,0.110998
3,4,11,0.100975
3,5,1,0.0420189
3,5,2,0.0443244
3,5,3,0.048799
3,5,4,0.0552533
3,5,5,0.0694425
3,5,6,0.0837146
3,5,7,0.0946509
3,5,8,0.10403
3,5,9,0.111856
3,5,10,0.121462
3,5,11,0.140885
3,6,1,0.0508736
3,6,2,0.0493529
3,6,3,0.0507598
3,6,4,0.0533063
3,6,5,0.0624715
3,6,6,0.076484
3,6,7,0.0884446
3,6,8,0.102333
3,6,9,0.113433
3,6,10,0.12313
3,6,11,0.139005
3,7,1,0.0615013
3,7,2,0.056079
3,7,3,0.0540027
3,7,4,0.0554953
3,7,5,0.0621351
3,7,6,0.0754196
3,7,7,0.0870421
3,7,8,0.098778
3,7,9,0.103493
3,7,10,0.103868
3,7,11,0.0507402
3,8,1,0.0596896
3,8,2,0.0584237
3,8,3,0.0519769
3,8,4,0.0485642
3,8,5,0.0523594
3,8,6,0.0458041
3,8,7,0.0211413
3,8,8,0
3,8,9,0
3,8,10,0
3,8,11,0
4,1,1,0.000229875
4,1,2,0.000483281
4,1,3,0.000620801
4,1,4,0.000578214
4,1,5,0.000255002
4,1,6,0
4,1,7,0
4,1,8,0
4,1,9,0
4,1,10,0
4,1,11,0
4,2,1,0.0218528
