# ix,iz,iPt,ratio_corr
2,1,1,0.0010512
2,1,2,0.00321864
2,1,3,0.00541831
2,1,4,0.00671088
2,1,5,0.0061279
2,1,6,0.00200134
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,1,0.00990043
2,2,2,0.0317548
2,2,3,0.042858
2,2,4,0.0507575
2,2,5,0.0584235
2,2,6,0.063192
2,2,7,0.0569277
2,2,8,0.0384224
2,2,9,0.0169426
2,2,10,0.00139976
2,2,11,0
2,3,1,0.017014
2,3,2,0.0213355
2,3,3,0.040964
2,3,4,0.0550485
2,3,5,0.0667172
2,3,6,0.0802302
2,3,7,0.0969514
2,3,8,0.107633
2,3,9,0.112067
2,3,10,0.0975107
2,3,11,0.0510464
2,4,1,0.013512
2,4,2,0.026287
2,4,3,0.0375591
2,4,4,0.0464119
2,4,5,0.0623648
2,4,6,0.0786508
2,4,7,0.0916582
2,4,8,0.105935
2,4,9,0.118981
2,4,10,0.130031
2,4,11,0.135923
2,5,1,0.0153134
2,5,2,0.02673
2,5,3,0.0350446
2,5,4,0.0429319
2,5,5,0.0555854
2,5,6,0.0705196
2,5,7,0.0816169
2,5,8,0.0967976
2,5,9,0.108575
2,5,10,0.122831
2,5,11,0.140615
2,6,1,0.0174085
2,6,2,0.0281363
2,6,3,0.033622
2,6,4,0.0405599
2,6,5,0.050635
2,6,6,0.0628436
2,6,7,0.0744951
2,6,8,0.0885632
2,6,9,0.100184
2,6,10,0.115515
2,6,11,0.134432
2,7,1,0.0207384
2,7,2,0.0310121
2,7,3,0.0358541
2,7,4,0.0406545
2,7,5,0.0486
2,7,6,0.0592101
2,7,7,0.0727859
2,7,8,0.0866479
2,7,9,0.0940066
2,7,10,0.103576
2,7,11,0.117356
2,8,1,0.019429
2,8,2,0.0315167
2,8,3,0.0387651
2,8,4,0.0388137
2,8,5,0.0441475
2,8,6,0.0535333
2,8,7,0.0553252
2,8,8,0.061002
2,8,9,0.016689
2,8,10,0
2,8,11,0
3,1,1,0.000598848
3,1,2,0.00163185
3,1,3,0.00251982
3,1,4,0.00271029
3,1,5,0.00204833
3,1,6,0.000141337
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,1,11,0
3,2,1,0.0128327
3,2,2,0.0294923
3,2,3,0.0366328
3,2,4,0.0422664
3,2,5,0.0429912
3,2,6,0.0364074
3,2,7,0.0250298
3,2,8,0.0124297
3,2,9,0.00154204
3,2,10,0
3,2,11,0
3,3,1,0.0278729
3,3,2,0.0276338
3,3,3,0.0448106
3,3,4,0.0563891
3,3,5,0.0675468
3,3,6,0.0745477
3,3,7,0.0762619
3,3,8,0.076181
3,3,9,0.0632826
3,3,10,0.0408591
3,3,11,0.0142272
3,4,1,0.0222024
3,4,2,0.0382901
3,4,3,0.0450233
3,4,4,0.052759
3,4,5,0.0667211
3,4,6,0.0785221
3,4,7,0.0858507
3,4,8,0.0925407
3,4,9,0.0967574
3,4,10,0.0980455
3,4,11,0.0926114
3,5,1,0.0376176
3,5,2,0.0401677
3,5,3,0.0442509
3,5,4,0.0498689
3,5,5,0.062073
3,5,6,0.0744288
3,5,7,0.0839539
3,5,8,0.0912359
3,5,9,0.0981838
3,5,10,0.10573
3,5,11,0.130987
3,6,1,0.0459797
3,6,2,0.0443765
3,6,3,0.0451015
3,6,4,0.04801
3,6,5,0.0564663
3,6,6,0.0688845
3,6,7,0.0792178
3,6,8,0.0923106
3,6,9,0.100197
3,6,10,0.110962
3,6,11,0.135831
3,7,1,0.0555996
3,7,2,0.0506522
3,7,3,0.0488845
3,7,4,0.050526
3,7,5,0.0565924
3,7,6,0.06902
3,7,7,0.0806139
3,7,8,0.0901285
3,7,9,0.0987951
3,7,10,0.10166
3,7,11,0.0540033
3,8,1,0.0541381
3,8,2,0.0549061
3,8,3,0.0454383
3,8,4,0.0476957
3,8,5,0.0515244
3,8,6,0.0420556
3,8,7,0.0165265
3,8,8,0
