# ix,iz,iPt,ratio_corr
2,1,1,0.00111045
2,1,2,0.00288669
2,1,3,0.00546903
2,1,4,0.00683863
2,1,5,0.00625261
2,1,6,0.002097
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,2,1,0.0136321
2,2,2,0.0322276
2,2,3,0.0462617
2,2,4,0.0555767
2,2,5,0.0642444
2,2,6,0.0674105
2,2,7,0.0578643
2,2,8,0.0393106
2,2,9,0.0179485
2,2,10,0.00209297
2,2,11,0
2,3,1,0.0148455
2,3,2,0.0289682
2,3,3,0.0424745
2,3,4,0.0549168
2,3,5,0.0695275
2,3,6,0.0856137
2,3,7,0.0987523
2,3,8,0.109041
2,3,9,0.114284
2,3,10,0.100551
2,3,11,0.051858
2,4,1,0.0133296
2,4,2,0.0258983
2,4,3,0.0373596
2,4,4,0.0466642
2,4,5,0.0627122
2,4,6,0.0790343
2,4,7,0.0924281
2,4,8,0.107179
2,4,9,0.122742
2,4,10,0.132641
2,4,11,0.141789
2,5,1,0.0152043
2,5,2,0.0266049
2,5,3,0.0349686
2,5,4,0.0428478
2,5,5,0.0556776
2,5,6,0.0716737
2,5,7,0.0838928
2,5,8,0.0983628
2,5,9,0.111414
2,5,10,0.124369
2,5,11,0.147165
2,6,1,0.0178556
2,6,2,0.0281474
2,6,3,0.0346137
2,6,4,0.0407045
2,6,5,0.0509049
2,6,6,0.0633116
2,6,7,0.0759089
2,6,8,0.0895008
2,6,9,0.102025
2,6,10,0.116698
2,6,11,0.137111
2,7,1,0.0205752
2,7,2,0.031197
2,7,3,0.035646
2,7,4,0.0405851
2,7,5,0.0488159
2,7,6,0.0609769
2,7,7,0.0748935
2,7,8,0.0872521
2,7,9,0.0969307
2,7,10,0.106236
2,7,11,0.11712
2,8,1,0.0211319
2,8,2,0.0312883
2,8,3,0.0380771
2,8,4,0.0389966
2,8,5,0.0460121
2,8,6,0.0552244
2,8,7,0.0561967
2,8,8,0.0611557
2,8,9,0.016689
2,8,10,0
2,8,11,0
3,1,1,0.000656919
3,1,2,0.00164807
3,1,3,0.00255535
3,1,4,0.00283527
3,1,5,0.00209301
3,1,6,0.000195323
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,1,11,0
3,2,1,0.0188619
3,2,2,0.0291097
3,2,3,0.039052
3,2,4,0.0430525
3,2,5,0.0434325
3,2,6,0.037394
3,2,7,0.0259299
3,2,8,0.0133474
3,2,9,0.00255143
3,2,10,0
3,2,11,0
3,3,1,0.0278419
3,3,2,0.0359698
3,3,3,0.0467833
3,3,4,0.0572404
3,3,5,0.0683725
3,3,6,0.0753328
3,3,7,0.0777062
3,3,8,0.0780468
3,3,9,0.0652672
3,3,10,0.0437428
3,3,11,0.0158365
3,4,1,0.030295
3,4,2,0.0378089
3,4,3,0.0453609
3,4,4,0.0532036
3,4,5,0.0675012
3,4,6,0.0792687
3,4,7,0.0878955
3,4,8,0.0952686
3,4,9,0.0998197
3,4,10,0.101516
3,4,11,0.0945362
3,5,1,0.0378294
3,5,2,0.0400689
3,5,3,0.0441014
3,5,4,0.05011
3,5,5,0.0630369
3,5,6,0.0761079
3,5,7,0.0859768
3,5,8,0.0946404
3,5,9,0.10221
3,5,10,0.111816
3,5,11,0.132891
3,6,1,0.0459208
3,6,2,0.044595
3,6,3,0.0460114
3,6,4,0.048372
3,6,5,0.0568408
3,6,6,0.0697798
3,6,7,0.0812452
3,6,8,0.0945033
3,6,9,0.104924
3,6,10,0.115698
3,6,11,0.136165
3,7,1,0.0560574
3,7,2,0.0509843
3,7,3,0.0496005
3,7,4,0.0510431
3,7,5,0.0574539
3,7,6,0.0701842
3,7,7,0.0816545
3,7,8,0.0940622
3,7,9,0.101301
3,7,10,0.105467
3,7,11,0.0541842
3,8,1,0.0563072
3,8,2,0.0550707
3,8,3,0.0496833
3,8,4,0.0477697
3,8,5,0.0514848
3,8,6,0.0468006
3,8,7,0.0223782
3,8,8,0
3,8,9,0
3,8,10,0
3,8,11,0
4,1,1,0.000202786
4,1,2,0.000426189
4,1,3,0.000548376
4,1,4,0.000511619
4,1,5,0.000226047
4,1,6,0
4,1,7,0
4,1,8,0
4,1,9,0
4,1,10,0
4,1,11,0
4,2,1,0.0190743
4,2,2,0.0212664
4,2,3,0.0258279
4,2,4,0.0251942
4,2,5,0.0211453
4,2,6,0.0139347
4,2,7,0.00705178
4,2,8,0.00162473
4,2,9,0
4,2,10,0
4,2,11,0
4,3,1,0.0358911
4,3,2,0.0385709
4,3,3,0.0440501
4,3,4,0.0520644
4,3,5,0.0566086
4,3,6,0.0526041
4,3,7,0.0470906
4,3,8,0.0395415
4,3,9,0.0255172
4,3,10,0.0121547
4,3,11,0.000363047
4,4,1,0.0464189
4,4,2,0.0456944
4,4,3,0.0475188
4,4,4,0.0536874
4,4,5,0.0672019
4,4,6,0.0745282
4,4,7,0.0742493
4,4,8,0.0714482
4,4,9,0.0662859
4,4,10,0.063541
4,4,11,0.0619142
4,5,1,0.0616903
4,5,2,0.049672
