xq2_center,xq2_bin,iy,z_bin,pt2_bin,z_label,pt2_label,rootfile,source,npoints,p0,p1,p2,chi2,ndf,status
1.000000,1,2,1,1,0.00–0.20,0.00–0.05,measData_times_truth_over_meas.root,file1,8,3522116.471,-43074.90301,-432885.6062,47.64103788,5,0
1.000000,1,2,1,1,0.00–0.20,0.00–0.05,measData_times_truth_over_meas.root,file2,8,3522049.736,-43074.55352,-432876.0742,47.641181,5,0
1.000000,1,2,1,2,0.00–0.20,0.05–0.10,measData_times_truth_over_meas.root,file1,8,1530819.645,74771.95868,227624.1888,19.89850967,5,0
1.000000,1,2,1,2,0.00–0.20,0.05–0.10,measData_times_truth_over_meas.root,file2,8,1530750.566,74766.73405,227607.3736,19.89900447,5,0
1.000000,1,2,1,3,0.00–0.20,0.10–0.15,measData_times_truth_over_meas.root,file1,8,681884.7991,-75541.50183,-11991.58452,34.87618635,5,0
1.000000,1,2,1,3,0.00–0.20,0.10–0.15,measData_times_truth_over_meas.root,file2,8,681830.2764,-75540.33575,-11988.30152,34.87608734,5,0
1.000000,1,2,1,4,0.00–0.20,0.15–0.20,measData_times_truth_over_meas.root,file1,8,378536.3971,-62404.46318,-24478.63022,6.303259274,5,0
1.000000,1,2,1,4,0.00–0.20,0.15–0.20,measData_times_truth_over_meas.root,file2,8,378485.7695,-62397.15947,-24472.89647,6.30330989,5,0
1.000000,1,2,1,5,0.00–0.20,0.20–0.30,measData_times_truth_over_meas.root,file1,8,362358.894,-66680.04127,805.0843475,18.67250407,5,0
1.000000,1,2,1,5,0.00–0.20,0.20–0.30,measData_times_truth_over_meas.root,file2,8,362265.4845,-66661.04127,804.4689081,18.67273155,5,0
1.000000,1,2,1,6,0.00–0.20,0.30–0.40,measData_times_truth_over_meas.root,file1,8,164987.5186,-35851.18763,16479.01592,18.0568543,5,0
1.000000,1,2,1,6,0.00–0.20,0.30–0.40,measData_times_truth_over_meas.root,file2,8,164888.2625,-35829.83977,16467.58241,18.05818337,5,0
1.000000,1,2,2,1,0.20–0.30,0.00–0.05,measData_times_truth_over_meas.root,file1,6,249571.3374,24050.61323,-30900.80187,451.239267,3,0
1.000000,1,2,2,1,0.20–0.30,0.00–0.05,measData_times_truth_over_meas.root,file2,6,249571.3374,24050.61323,-30900.80187,451.239267,3,0
1.000000,1,2,2,2,0.20–0.30,0.05–0.10,measData_times_truth_over_meas.root,file1,8,191175.0622,-10601.07403,13748.20271,11.32891591,5,0
1.000000,1,2,2,2,0.20–0.30,0.05–0.10,measData_times_truth_over_meas.root,file2,8,191175.0622,-10601.07403,13748.20271,11.32891591,5,0
1.000000,1,2,2,3,0.20–0.30,0.10–0.15,measData_times_truth_over_meas.root,file1,8,148321.5207,909.4461836,4213.272682,13.79205022,5,0
1.000000,1,2,2,3,0.20–0.30,0.10–0.15,measData_times_truth_over_meas.root,file2,8,148321.5207,909.4461836,4213.272682,13.79205022,5,0
1.000000,1,2,2,4,0.20–0.30,0.15–0.20,measData_times_truth_over_meas.root,file1,8,102990.7082,-7106.399147,856.5657001,26.73450128,5,0
1.000000,1,2,2,4,0.20–0.30,0.15–0.20,measData_times_truth_over_meas.root,file2,8,102990.7082,-7106.399147,856.5657001,26.73450128,5,0
1.000000,1,2,2,5,0.20–0.30,0.20–0.30,measData_times_truth_over_meas.root,file1,8,132973.1111,-20261.59021,1199.709577,17.71014835,5,0
1.000000,1,2,2,5,0.20–0.30,0.20–0.30,measData_times_truth_over_meas.root,file2,8,132973.1111,-20261.59021,1199.709577,17.71014835,5,0
1.000000,1,2,2,6,0.20–0.30,0.30–0.40,measData_times_truth_over_meas.root,file1,8,74919.49884,-13338.06545,6076.939724,13.96562892,5,0
1.000000,1,2,2,6,0.20–0.30,0.30–0.40,measData_times_truth_over_meas.root,file2,8,74919.49884,-13338.06545,6076.939724,13.96562892,5,0
1.000000,1,2,2,7,0.20–0.30,0.40–0.50,measData_times_truth_over_meas.root,file1,8,42015.92399,-10782.75119,3497.126115,8.7880816,5,0
1.000000,1,2,2,7,0.20–0.30,0.40–0.50,measData_times_truth_over_meas.root,file2,8,42015.92399,-10782.75119,3497.126115,8.7880816,5,0
1.000000,1,2,2,8,0.20–0.30,0.50–0.65,measData_times_truth_over_meas.root,file1,8,31141.15275,-9992.173361,3433.533335,16.2100029,5,0
1.000000,1,2,2,8,0.20–0.30,0.50–0.65,measData_times_truth_over_meas.root,file2,8,31141.15275,-9992.173361,3433.533335,16.2100029,5,0
1.000000,1,2,2,9,0.20–0.30,0.65–0.80,measData_times_truth_over_meas.root,file1,8,14342.99506,-5997.003097,1019.154127,10.70805233,5,0
1.000000,1,2,2,9,0.20–0.30,0.65–0.80,measData_times_truth_over_meas.root,file2,8,14342.99506,-5997.003097,1019.154127,10.70805233,5,0
1.000000,1,2,3,1,0.30–0.40,0.00–0.05,measData_times_truth_over_meas.root,file1,8,109270.9688,22731.75116,10101.16043,5.756306238,5,0
1.000000,1,2,3,1,0.30–0.40,0.00–0.05,measData_times_truth_over_meas.root,file2,8,109270.9688,22731.75116,10101.16043,5.756306238,5,0
1.000000,1,2,3,2,0.30–0.40,0.05–0.10,measData_times_truth_over_meas.root,file1,6,84540.64804,-2476.494236,10703.16234,13.35765453,3,0
1.000000,1,2,3,2,0.30–0.40,0.05–0.10,measData_times_truth_over_meas.root,file2,6,84540.64804,-2476.494236,10703.16234,13.35765453,3,0
1.000000,1,2,3,3,0.30–0.40,0.10–0.15,measData_times_truth_over_meas.root,file1,8,68260.03157,247.2948249,3078.493071,8.203112683,5,0
1.000000,1,2,3,3,0.30–0.40,0.10–0.15,measData_times_truth_over_meas.root,file2,8,68260.03157,247.2948249,3078.493071,8.203112683,5,0
1.000000,1,2,3,4,0.30–0.40,0.15–0.20,measData_times_truth_over_meas.root,file1,8,54591.927,-2708.653388,403.0369824,6.240273999,5,0
1.000000,1,2,3,4,0.30–0.40,0.15–0.20,measData_times_truth_over_meas.root,file2,8,54591.927,-2708.653388,403.0369824,6.240273999,5,0
1.000000,1,2,3,5,0.30–0.40,0.20–0.30,measData_times_truth_over_meas.root,file1,8,73122.91973,-12214.59946,-1928.477218,11.5002844,5,0
1.000000,1,2,3,5,0.30–0.40,0.20–0.30,measData_times_truth_over_meas.root,file2,8,73122.91973,-12214.59946,-1928.477218,11.5002844,5,0
1.000000,1,2,3,6,0.30–0.40,0.30–0.40,measData_times_truth_over_meas.root,file1,8,46737.35175,-6750.702303,-730.9582133,11.01329294,5,0
1.000000,1,2,3,6,0.30–0.40,0.30–0.40,measData_times_truth_over_meas.root,file2,8,46737.35175,-6750.702303,-730.9582133,11.01329294,5,0
1.000000,1,2,3,7,0.30–0.40,0.40–0.50,measData_times_truth_over_meas.root,file1,8,27837.46194,-5565.386087,1047.600739,3.120672917,5,0
1.000000,1,2,3,7,0.30–0.40,0.40–0.50,measData_times_truth_over_meas.root,file2,8,27837.46194,-5565.386087,1047.600739,3.120672917,5,0
1.000000,1,2,3,8,0.30–0.40,0.50–0.65,measData_times_truth_over_meas.root,file1,8,22836.70877,-4844.430122,2001.718172,1.856136881,5,0
1.000000,1,2,3,8,0.30–0.40,0.50–0.65,measData_times_truth_over_meas.root,file2,8,22836.70877,-4844.430122,2001.718172,1.856136881,5,0
1.000000,1,2,3,9,0.30–0.40,0.65–0.80,measData_times_truth_over_meas.root,file1,8,10723.06866,-3088.496074,1101.137996,2.043900217,5,0
1.000000,1,2,3,9,0.30–0.40,0.65–0.80,measData_times_truth_over_meas.root,file2,8,10723.06866,-3088.496074,1101.137996,2.043900217,5,0
1.000000,1,2,3,10,0.30–0.40,0.80–1.00,measData_times_truth_over_meas.root,file1,8,6718.486737,-2400.836791,1896.22875,22.41780739,5,0
1.000000,1,2,3,10,0.30–0.40,0.80–1.00,measData_times_truth_over_meas.root,file2,8,6718.486737,-2400.836791,1896.22875,22.41780739,5,0
1.000000,1,2,3,11,0.30–0.40,1.00–1.50,measData_times_truth_over_meas.root,file1,7,4578.964471,-2245.049756,1694.967307,26.14533428,4,0
1.000000,1,2,3,11,0.30–0.40,1.00–1.50,measData_times_truth_over_meas.root,file2,7,4574.09781,-2242.563631,1693.326896,26.12717916,4,0
1.000000,1,2,4,1,0.40–0.50,0.00–0.05,measData_times_truth_over_meas.root,file1,6,56184.50649,15334.39205,13614.28008,3.47048823,3,0
1.000000,1,2,4,1,0.40–0.50,0.00–0.05,measData_times_truth_over_meas.root,file2,6,56184.50649,15334.39205,13614.28008,3.47048823,3,0
1.000000,1,2,4,2,0.40–0.50,0.05–0.10,measData_times_truth_over_meas.root,file1,6,30401.36816,-16451.06058,734.8548634,33.38468743,3,0
1.000000,1,2,4,2,0.40–0.50,0.05–0.10,measData_times_truth_over_meas.root,file2,6,30401.36816,-16451.06058,734.8548634,33.38468743,3,0
1.000000,1,2,4,3,0.40–0.50,0.10–0.15,measData_times_truth_over_meas.root,file1,6,36738.95981,3544.939148,3718.795617,5.372448757,3,0
1.000000,1,2,4,3,0.40–0.50,0.10–0.15,measData_times_truth_over_meas.root,file2,6,36738.95981,3544.939148,3718.795617,5.372448757,3,0
1.000000,1,2,4,4,0.40–0.50,0.15–0.20,measData_times_truth_over_meas.root,file1,6,28049.60664,-1866.32337,468.4344366,8.43069892,3,0
1.000000,1,2,4,4,0.40–0.50,0.15–0.20,measData_times_truth_over_meas.root,file2,6,28049.60664,-1866.32337,468.4344366,8.43069892,3,0
1.000000,1,2,4,5,0.40–0.50,0.20–0.30,measData_times_truth_over_meas.root,file1,6,44597.09835,-2120.328042,130.0488166,1.145889487,3,0
1.000000,1,2,4,5,0.40–0.50,0.20–0.30,measData_times_truth_over_meas.root,file2,6,44597.09835,-2120.328042,130.0488166,1.145889487,3,0
1.000000,1,2,4,6,0.40–0.50,0.30–0.40,measData_times_truth_over_meas.root,file1,7,29257.11957,-2370.038843,-178.5057432,16.21912365,4,0
1.000000,1,2,4,6,0.40–0.50,0.30–0.40,measData_times_truth_over_meas.root,file2,7,29257.11957,-2370.038843,-178.5057432,16.21912365,4,0
1.000000,1,2,4,7,0.40–0.50,0.40–0.50,measData_times_truth_over_meas.root,file1,8,19013.94212,-2649.290312,192.1163208,9.480661037,5,0
1.000000,1,2,4,7,0.40–0.50,0.40–0.50,measData_times_truth_over_meas.root,file2,8,19013.94212,-2649.290312,192.1163208,9.480661037,5,0
1.000000,1,2,4,8,0.40–0.50,0.50–0.65,measData_times_truth_over_meas.root,file1,8,17346.77482,-3671.381872,425.9791546,1.840291902,5,0
1.000000,1,2,4,8,0.40–0.50,0.50–0.65,measData_times_truth_over_meas.root,file2,8,17346.77482,-3671.381872,425.9791546,1.840291902,5,0
1.000000,1,2,4,9,0.40–0.50,0.65–0.80,measData_times_truth_over_meas.root,file1,8,9326.652448,-2117.932426,1007.00162,6.223498867,5,0
1.000000,1,2,4,9,0.40–0.50,0.65–0.80,measData_times_truth_over_meas.root,file2,8,9326.652448,-2117.932426,1007.00162,6.223498867,5,0
1.000000,1,2,4,10,0.40–0.50,0.80–1.00,measData_times_truth_over_meas.root,file1,8,5630.249585,-1894.935456,769.7126758,17.29468107,5,0
1.000000,1,2,4,10,0.40–0.50,0.80–1.00,measData_times_truth_over_meas.root,file2,8,5630.249585,-1894.935456,769.7126758,17.29468107,5,0
1.000000,1,2,4,11,0.40–0.50,1.00–1.50,measData_times_truth_over_meas.root,file1,8,3851.527075,-1780.717306,1165.262002,25.29857514,5,0
1.000000,1,2,4,11,0.40–0.50,1.00–1.50,measData_times_truth_over_meas.root,file2,8,3851.482119,-1780.694868,1165.324427,25.30080832,5,0
1.000000,1,2,5,4,0.50–0.60,0.15–0.20,measData_times_truth_over_meas.root,file1,6,14478.66584,-3628.431818,-1469.888015,2.190770517,3,0
1.000000,1,2,5,4,0.50–0.60,0.15–0.20,measData_times_truth_over_meas.root,file2,6,14478.66584,-3628.431818,-1469.888015,2.190770517,3,0
1.000000,1,2,5,5,0.50–0.60,0.20–0.30,measData_times_truth_over_meas.root,file1,6,25762.96197,-1772.61844,1406.733483,7.889074487,3,0
1.000000,1,2,5,5,0.50–0.60,0.20–0.30,measData_times_truth_over_meas.root,file2,6,25762.96197,-1772.61844,1406.733483,7.889074487,3,0
1.000000,1,2,5,6,0.50–0.60,0.30–0.40,measData_times_truth_over_meas.root,file1,6,18370.84599,535.0284409,1075.311277,4.73416964,3,0
1.000000,1,2,5,6,0.50–0.60,0.30–0.40,measData_times_truth_over_meas.root,file2,6,18370.84599,535.0284409,1075.311277,4.73416964,3,0
1.000000,1,2,5,7,0.50–0.60,0.40–0.50,measData_times_truth_over_meas.root,file1,6,12417.69585,-2659.743149,-425.0448131,6.842523813,3,0
1.000000,1,2,5,7,0.50–0.60,0.40–0.50,measData_times_truth_over_meas.root,file2,6,12417.69585,-2659.743149,-425.0448131,6.842523813,3,0
1.000000,1,2,5,8,0.50–0.60,0.50–0.65,measData_times_truth_over_meas.root,file1,6,13326.13203,440.0046491,1146.52758,18.4100517,3,0
1.000000,1,2,5,8,0.50–0.60,0.50–0.65,measData_times_truth_over_meas.root,file2,6,13326.13203,440.0046491,1146.52758,18.4100517,3,0
1.000000,1,2,5,9,0.50–0.60,0.65–0.80,measData_times_truth_over_meas.root,file1,8,7255.07157,-828.0697203,535.9903413,17.26018533,5,0
1.000000,1,2,5,9,0.50–0.60,0.65–0.80,measData_times_truth_over_meas.root,file2,8,7255.07157,-828.0697203,535.9903413,17.26018533,5,0
1.000000,1,2,5,10,0.50–0.60,0.80–1.00,measData_times_truth_over_meas.root,file1,8,4773.518405,-1474.731533,342.4638092,10.82435023,5,0
1.000000,1,2,5,10,0.50–0.60,0.80–1.00,measData_times_truth_over_meas.root,file2,8,4773.518405,-1474.731533,342.4638092,10.82435023,5,0
1.000000,1,2,5,11,0.50–0.60,1.00–1.50,measData_times_truth_over_meas.root,file1,8,3639.423704,-1373.455654,910.7862736,19.52188049,5,0
1.000000,1,2,5,11,0.50–0.60,1.00–1.50,measData_times_truth_over_meas.root,file2,8,3634.467105,-1376.259827,903.305661,20.02125751,5,0
1.000000,1,2,6,5,0.60–0.70,0.20–0.30,measData_times_truth_over_meas.root,file1,6,15555.45354,-144.1762126,203.6165594,5.573054062,3,0
1.000000,1,2,6,5,0.60–0.70,0.20–0.30,measData_times_truth_over_meas.root,file2,6,15555.45354,-144.1762126,203.6165594,5.573054062,3,0
1.000000,1,2,6,6,0.60–0.70,0.30–0.40,measData_times_truth_over_meas.root,file1,6,10965.08203,-1704.856129,-552.0448266,10.72941377,3,0
1.000000,1,2,6,6,0.60–0.70,0.30–0.40,measData_times_truth_over_meas.root,file2,6,10965.08203,-1704.856129,-552.0448266,10.72941377,3,0
